"","SecId","X","Date","diff20","bin.diff20","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type","sector","PriceToday","PriceForward20Days"
"1",7,1,"2009-12-01",1.267612,0,0,1,0,0,0.908512255999068,0.0914877440009323,0.999482632833967,0.786,0.214,0.983209571352907,0.0167904286470928,1,0,0.330440201370498,0,"test","Financials",49.82,50.33
"2",21,2,"2009-12-01",2.780211,0,0,0,0,0,0.9043407668147,0.0956592331853001,0,0.786,0.214,0.998840717163038,0.00115928283696232,0,0,0.0777046290055656,0,"test","Financials",46.4,46.95
"3",23,3,"2009-12-01",6.7430854,0,0,0,1,0,0.484681604495179,0.515318395504821,1.17978116142977e-06,0.444,0.556,0.862761057036143,0.137238942963857,1,0,0.30213962956246,0,"test","Financials",30.84,31.66
"4",24,4,"2009-12-01",8.973492,1,0,0,0,0,0.864964524269728,0.135035475730272,0,0.678,0.322,0.991561913081275,0.00843808691872465,0,0,0.116368390662249,0,"test","Financials",13.86,16.03
"5",25,5,"2009-12-01",2.0274878,0,0,0,0,0,0.841701043627148,0.158298956372852,0,0.658,0.342,0.97764470421888,0.0223552957811197,0,0,0.130663563038493,0,"test","Financials",30.74,29.69
"6",27,6,"2009-12-01",9.336699,1,0,1,0,0,0.867887487239168,0.132112512760832,1,0.664,0.336,0.964122526031853,0.0358774739681472,1,0,0.375997496682245,0,"test","Financials",28.52,30.33
"7",34,7,"2009-12-01",4.9892664,0,0,0,0,0,0.879795483507352,0.120204516492648,0,0.856,0.144,0.998996437606964,0.00100356239303626,0,0,0.066302019721421,0,"test","Financials",38.92,39.14
"8",35,8,"2009-12-01",9.677422,1,0,0,0,0,0.856181947143389,0.143818052856611,0,0.858,0.142,0.999165639179327,0.000834360820672711,0,0,0.0716631034193208,0,"test","Financials",41.67,43.18
"9",38,9,"2009-12-01",2.2415638,0,0,0,0,0,0.685897078065065,0.314102921934935,0,0.564,0.436,0.790499206202446,0.209500793797554,0,0,0.239900928933122,0,"test","Financials",38.6,38.77
"10",45,10,"2009-12-01",11.277103,1,0,0,0,0,0.917394014587447,0.0826059854125526,0,0.846,0.154,0.998925938847564,0.00107406115243584,0,0,0.0594200116412471,0,"test","Financials",73.54,84.17
"11",48,11,"2009-12-01",2.5075197,0,0,0,0,0,0.941013723777942,0.0589862762220578,0,0.856,0.144,0.997850431679202,0.00214956832079794,0,0,0.0512839611357139,0,"test","Financials",41.3,40.88
"12",51,12,"2009-12-01",-1.7543912,0,0,1,0,0,0.86264083957115,0.13735916042885,0.999980872349717,0.628,0.372,0.834142104307518,0.165857895692482,1,0,0.418799482117763,0,"test","Financials",15.9,15.12
"13",54,13,"2009-12-01",-1.0835946,0,0,1,0,1,0.631085198250655,0.368914801749345,1,0.66,0.34,0.417968580384035,0.582031419615965,2,0,0.572736555341328,1,"test","Financials",25.6,25.56
"14",59,14,"2009-12-01",-2.4787247,0,0,0,0,0,0.945214697503879,0.0547853024961212,0,0.902,0.098,0.999495478792653,0.000504521207347456,0,0,0.0383224559258672,0,"test","Financials",36.133335,35.146667
"15",63,15,"2009-12-01",1.8054485,0,0,1,0,0,0.711107186227887,0.288892813772113,1,0.574,0.426,0.943236464569192,0.0567635354308077,1,0,0.44291408730073,0,"test","Financials",26.95,27.63
"16",64,16,"2009-12-01",5.242288,0,0,0,0,0,0.847666566123158,0.152333433876842,0,0.768,0.232,0.99919378884276,0.000806211157240408,0,0,0.0962849112585206,0,"test","Financials",226.74,238.9
