"","","","","","GICS","","GICS","","","","","","","","","52W High","52W Low","Volume","","Short","Divs","Issue","Issue","Cur Shr","% of","Sec","","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","","","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","","Enter-","Enter-","Price","","","","","Return","CF Ret","","","","Total","Total","","Repur","Repur","Sale of","Sale of","LST","LST","LST","LST","FE","","FE Guid","FE Guid","FE",""
"","","","","GICS","Ind","GICS","Sub","","","Simple","Price","Latest","","Daily","Daily","Intraday","Intraday","Weightd","","Intrest","Earned","Common","Common","Out -","Closely","Market","Split","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Eps","","","P_Salesps","P_Salesps","P_Salesps","Pbps","Ev_Ebit","Ev_Ebitda","Ev_Fcf","Ev_Sales","Eps_Ltg","Peg","Gross_Margin","Ebitda_Margin","Ebit_Margin","Net_Margin","Roic","Price","prise","prise","/ Free","Price","","","","on Avg","on Tot","Free","L T","Capital","Debt %","Debt%","Total","Cmn &","Cmn &","Com &","Com &","Num","Num","Num","Num","Rating","S&P","Eps","Fcfps","Eps","EPS"
"Company","","SEDOLCHK","ISIN","Sector","Group","Ind","Ind","EC","Trading","Tot Ret","Chg","Closing","Opening","High","Low","Price","Price","Average","Daily","%","Per Shr","Shares","Shares","Closely","Held","Value","Adjust","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Nest","","","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","/ Earns","Value","Value/","Cash","/Sales","Earns","Div","Div","Invest","Invest","Cash","Invest","Expend","Total","Total","Debt/","Pfd Stk","Pfd Stk","Pfd Stk","Pfd Stk","Insider","Insider","Shs","Shs","Mean","Rating","Mean","Mean","Mean","Report"
"Symbol","Company Name","Symbol","Symbol","Name","Name","Name","Name","DATEN","Day","(LOCAL)","(LOCAL)","Price","Price","Price","Price","(LOCAL)","(LOCAL)","Price","Volume","Out","(0)","Outstdg","Outstdg","Held Sh","Shares","(LOCAL)","Factor","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual","","","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Ratio","/EBIT","EBITDA","Flow","CFY","Yield","Yield","Payout","Capital","Capital","Flow","Capital","CF","Capital","Assets","EBITDA","CF","CF","CF","CF","Purch","Sales","Purch","Sold","Note","Text","Annual_Roll","Annual_Roll","Annual_Roll","Date"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AAT","American Assets Trust, Inc.","B3NTLD4","US0240131047","Financials","Real Estate","Real Estate Investment Trusts (REITs)","Diversified REITs","20130110.0","20130110.0","-1.7845929","-1.7845929","28.38","28.65","28.79","28.34","36.265","28.65","28.5038","133103.0","1.3954608","0.0","39.664","39.664","19.270512","53.3914880245","1125.6643","0.0","0.07","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","3.0342443","3.3974786","4.5448937","0.0","0.0","0.0","0.0","0.0","0.0","0.84","0.875","0.92","0.0","0.0","0.0","1.0","1.0","0.0","2.0","-63.15789","-53.333336","4.762913","4.4009595","3.6574366","2.7607005","42.132828","18.217903","42","9.277036","6.75115","60.05326","63.991043","50.92263","22.018545","5.720463","42","111.009538951","42","42","42","4.5947170126","0.90082348729","3.00751879699","333.86327504","-0.161196119172","4.48966544527","-233.009","1683.043","308.572","62.0710225467","57.1618204769","42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1666666","@NA","42","42","0.0","20130219"
"AAWW","Atlas Air Worldwide Holdings, Inc.","B01Z8P4","US0491642056","Industrials","Transportation","Air Freight & Logistics","Air Freight & Logistics","20130110.0","20130110.0","-2.1523237","-2.1523237","45.7","47.24","47.27","45.38","50.98","35.25","45.862324","224038.0","4.055697","0.0","26.443","26.443","24.777936","1.75493045705","1208.4451","0.0","4.671","5.34","6.07","0.0","0.0","0.0","10.0","10.0","1.0","10.800197","13.683676","15.053736","0.0","1.0","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","-1.2853029","-3.182578","0.7342908","0.6493797","0.5688849","0.9570681","9.358486","7.2869563","42","1.2645317","19.333334","0.50605714","42","17.35336","13.51214","5.788309","42","9.06339468303","9.21416442782","6.96887507257","42","0.711341018887","11.0333935018","0.0","0.0","5.33900572129","10.622249124","-293.539","2433.543","552.036","50.3821229586","41.3629017805","4.40156209918","3.351","0.033","0.0","0.0","42","42","42","42","1.4545455","@NA","4.65","42","-10.759443","20130213"
"ABAX","Abaxis, Inc.","2011550","US0025671050","Health Care","Health Care Equipment & Services","Health Care Equipment & Supplies","Health Care Equipment","20130110.0","20130110.0","-3.0679286","-3.0679286","39.28","38.6","39.41","38.0","51.84","32.11","38.749516","178096.0","10.935535","0.0","21.95","21.95","18.816216","23.4099728098","862.196","0.0","0.878889","1.078889","1.44","1.0","1.0","0.0","2.0","1.0","0.0","1.3574791","1.8265967","2.2758996","1.0","0.0","42","0.0","0.0","42","0.0","0.0","42","0.0","0.0","42","0.0","0.0","42","9.0","12.678083","-4.468586","4.729458","4.110611","3.6979523","5.3297153","42","42","42","42","19.066668","2.3440273","53.932632","16.344551","15.999567","9.183663","42","50.224137931","30.1983378733","23.9364916283","45.7245324948","4.10806738359","1.99107449365","0.0","0.0","8.15293209108","13.6845448657","14.31","160.568","7.663","0.487643864282","0.430607800436","0.0318979916079","27.328","0.0","0.615","1.332","42","42","42","42","1.5625","B","42","42","17.01187","20130131"
"ABBV","AbbVie, Inc.","B92SR70","US00287Y1091","Health Care","Pharmaceuticals Biotechnology & Life Sciences","Pharmaceuticals","Pharmaceuticals","20130110.0","20130110.0","-0.16774535","-0.16774535","34.0","33.66","34.0","33.33","54.78","35.01","33.833405","15660780.0","0.59620386","0.0","1580.67","1580.67","1585.248059","0.0114761709353","53742.78","0.0","42","42","42","0.0","0.0","0.0","0.0","0.0","0.0","42","42","42","1.0","1.0","3.0","1.0","4.0","3.0","42","42","42","0.0","0.0","0.0","0.0","0.0","0.0","11.0","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","26.634993","42","10.1970149254","9.25391853299","7.89008330129","8.9604657352","2.93092056583","9.80679156909","0.0","0.0","29.3169565942","35.2637136664","6012.0","17993.0","333.0","82.3325453113","58.0272511848","2.00845828527","0.0","0.0","42","42","0.0","0.0","0.0","0.0","1.5555556","@NA","42","42","42","20130405"
"ABC","AmerisourceBergen Corporation","2795393","US03073E1055","Health Care","Health Care Equipment & Services","Health Care Providers & Services","Health Care Distributors","20130110.0","20130110.0","-0.67926645","-0.67926645","43.89","43.95","43.99","43.69","71.92","45.17","43.821644","1579865.0","2.3648827","0.0","235.476","235.476","229.275652","0.237247480112","10335.041","0.5","3.126212","3.522398","3.994448","1.0","6.0","2.0","1.0","2.0","0.0","6.2092338","6.6219783","7.01115","6.0","4.0","2.0","0.0","3.0","1.0","0.734706","0.832862","0.77465","4.0","4.0","0.0","0.0","0.0","0.0","15.0","-14.55344","-14.33804","0.12071097","0.11875893","0.11715418","3.3770268","7.9004006","7.007936","12.11741","0.119676605","12.0","1.1699462","3.3470447","1.7077297","1.5148169","0.7353748","42","13.825","7.95108781417","7.16736580032","8.71267340863","0.123160661931","7.23327305606","1.34332213898","18.5714285714","18.1424174622","33.4431925138","1141.408","3903.482","164.041","37.0635755461","9.36776869083","1.0043247671","1162.246","284.691","104.566","39.75","0.0","1.0","0.0","-9449.0","1.4117647","A","3.1100001","42","10.260475","20130124"
"ABFS","Arkansas Best Corporation","2048075","US0407901075","Industrials","Transportation","Road & Rail","Trucking","20130110.0","20130110.0","-2.599758","-2.599758","10.18","9.78","10.246","9.68","35.956","9.5","10.079826","291094.0","7.5703225","0.0","25.617","25.617","24.349155","5.39050656379","260.78107","0.0","-0.231614","0.607935","1.157941","1.0","0.0","0.0","15.0","17.0","6.0","3.08482","4.569729","5.450511","3.0","1.0","42","1.0","0.0","42","0.12","0.128","0.14","0.0","0.0","0.0","0.0","0.0","0.0","17.0","-113.74274","-117.00623","0.127381","0.115728065","0.10998114","0.55905086","42","4.197861","42","0.16203722","1.466667","42","42","3.8599946","-0.11086092","2.1596625","42","42","42","4.00929688544","5.16639964449","0.118172071526","-3.24607329843","1.25654450262","42","-1.3518900584","14.7802217016","47.256","571.94","44.496","26.9841194091","16.3978957178","2.39168135354","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8888888","B-","42","42","-100000.0","20130130"
"ABM","ABM Industries Incorporated","2024901","US0009571003","Industrials","Commercial & Professional Services","Commercial Services & Supplies","Environmental & Facilities Services","20130110.0","20130110.0","-1.217711","-1.217711","20.49","20.6","20.6","20.38","29.2","20.09","20.488363","153831.0","1.3833474","0.0","54.413","54.413","51.202461","7.94305693099","1114.9224","0.5","1.373333","1.516","42","2.0","0.0","42","2.0","0.0","42","3.8154366","3.9678667","42","0.0","0.0","0.0","4.0","2.0","0.0","0.6","0.62","42","0.0","0.0","42","0.0","0.0","42","8.0","-15.450054","-12.36709","0.23599833","0.22981155","42","42","42","42","42","42","0.3","49.73302","10.835047","4.394518","3.031922","1.6849599","42","16.6666666667","12.5551019986","8.22756547002","8.5131037859","0.238532509043","6.0","3.05263157895","50.8771929825","5.88681412956","14.1366888243","122.56","1065.398","28.052","20.1802518871","11.5019331272","1.45601809526","0.0","0.0","12.496","2.441","0.0","3.0","0.0","-58834.0","1.6666666","B+","42","42","6.7356944","20121210"
"ABMD","ABIOMED, Inc.","2003698","US0036541003","Health Care","Health Care Equipment & Services","Health Care Equipment & Supplies","Health Care Equipment","20130110.0","20130110.0","-1.3177752","-1.3177752","12.8","12.94","13.0","12.73","30.77","12.41","12.845484","509539.0","10.067643","0.0","39.671","39.671","25.656819","20.0269352132","507.78882","0.5","0.343","0.422","0.665","8.0","3.0","0.0","0.0","5.0","4.0","0.5245221","0.65449065","0.9923772","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","42","0.0","0.0","42","0.0","0.0","42","9.0","149.86705","7.1875005","3.2621107","2.8197489","2.4533255","3.1683168","30.784674","25.520037","18.37471","3.4114096","115.0","0.32450247","80.79082","13.367574","11.08152","2.07774","42","554.75","535.653736842","139.035806011","471.898718899","6.73803410485","0.180261379","0.0","0.0","1.18371774468","2.87734467169","1.889","126.297","1.745","0.0","0.0","0.0","0.0","10.654","14.68","0.246","0.0","1.0","0.0","-37500.0","1.5909091","C","42","42","20.881058","20130206"
"ABT","Abbott Laboratories","2002305","US0028241000","Health Care","Health Care Equipment & Services","Health Care Equipment & Supplies","Health Care Equipment","20130110.0","20130110.0","-1.4297485","-1.4297485","33.85","33.7","33.94","33.66","39.86","32.7","33.81845","9668552.0","0.7409238","0.0","1580.668","1580.668","1550.53707","0.227564151491","53505.61","0.5","2.220955","1.972441","2.308379","0.0","0.0","1.0","6.0","9.0","8.0","7.94437","3.443642","5.276372","0.0","0.0","0.0","8.0","6.0","3.0","0.973201","0.555002","0.60792","0.0","0.0","0.0","0.0","4.0","3.0","21.0","-0.50055414","-0.31043297","1.6304219","1.7449968","1.8430414","3.0530653","9.110961","4.5328813","8.535627","1.7345034","9.85","1.5473291","76.07853","38.26492","19.037544","14.922006","42","17.6075268817","12.7905112431","9.6559236019","13.8667157771","2.58783899046","5.67938931298","2.54961832061","44.8924731183","13.3082288072","20.7881674935","7519.112","44806.263","1795.289","43.384106062","30.4543482627","1.80298188157","2364.24","640.892","1850.454","280.043","42","42","42","42","1.74","A","2.4258552","42","-8.20449","20130123"
"ACAT","Arctic Cat Inc.","2047500","US0396701049","Consumer Discretionary","Consumer Durables & Apparel","Leisure Equipment & Products","Leisure Products","20130110.0","20130110.0","0.9799242","0.9799242","36.34","36.72","36.72","35.4848","61.13","33.62","36.174717","149822.0","4.1328573","0.0","13.25","13.25","13.158556","23.3327310508","481.505","0.6666667","2.844286","3.344286","3.5","0.0","0.0","0.0","1.0","1.0","1.0","5.7347546","6.500177","7.1698112","0.0","0.0","0.0","4.0","4.0","1.0","0.0","0.0","42","0.0","0.0","42","0.0","0.0","42","7.0","-12.019432","-15.132143","0.71069294","0.6555087","0.6157353","2.7018585","42","42","42","42","22.0","0.5807497","22.691015","11.215326","9.14972","5.4493356","42","24.9069767442","14.9336177817","11.6281279376","54.2664867218","1.22393098546","4.01493930906","0.0","0.0","21.6224218615","20.7803743717","13.782","138.472","14.993","0.0","0.0","0.0","86.294","3.865","0.0","42","1.0","1.0","100.0","-100.0","1.5","B+","2.7","42","-0.4997611","20130124"
