"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",2165,2074,1797,2104,2148,2152,2088
"2","1","0",0,463,391,431,506,496,450
"3","0","1",0,91,368,61,17,13,77
"4","1","1",541,78,150,110,35,45,91
"5",NA,NA,9.45525207966728,5.55301502088757,3.18905608460039,7.48035934701754,8.32674524461538,9.61206801896552,6.18846939077381
