"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",827,809,703,819,811,821,792
"2","1","0",0,203,174,201,195,202,194
"3","0","1",0,18,124,8,16,6,35
"4","1","1",207,4,33,6,12,5,13
"5",NA,NA,3.87091020628019,-0.0608441356818182,0.323287886299363,2.43070977857143,2.553369956,2.20459375454545,0.6425989178125
