"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",2369,2295,1772,2206,2276,2314,2187
"2","1","0",0,546,379,460,505,538,476
"3","0","1",0,74,597,163,93,55,182
"4","1","1",592,46,213,132,87,54,116
"5",NA,NA,12.6414100913851,6.76801953409167,4.3645446797642,6.91273072009492,6.37658960527778,6.71067889100917,6.28813171638255
