"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",2369,2313,2037,2325,2362,2362,2283
"2","1","0",0,531,458,512,581,578,528
"3","0","1",0,56,332,44,7,7,86
"4","1","1",592,61,134,80,11,14,64
"5",NA,NA,12.6414100913851,7.63796599769231,4.59594982178326,9.84310624927419,8.26811849722222,9.92233729190476,6.13330238244667
