"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",1056,997,843,937,992,1006,958
"2","1","0",0,204,182,171,193,202,194
"3","0","1",0,59,213,119,64,50,98
"4","1","1",264,60,82,93,71,62,70
"5",NA,NA,8.9738230375,5.42237577731092,2.21093862635932,4.68919636246226,4.6075870180963,5.82002112083036,4.30613794433929
