"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",897,882,725,882,877,890,858
"2","1","0",0,179,141,169,190,194,168
"3","0","1",0,15,172,15,20,7,39
"4","1","1",225,46,84,56,35,31,57
"5",NA,NA,7.26403727911111,6.08247263065574,0.662993388164063,5.12129436384507,3.211418934,7.17352155184211,3.62243230385417
