"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",123,115,87,121,123,123,115
"2","1","0",0,21,16,12,20,19,17
"3","0","1",0,8,36,2,0,0,8
"4","1","1",31,10,15,19,11,12,14
"5",NA,NA,8.92268183548387,5.58249513333333,3.01133032647059,8.99193166190476,10.3649670909091,10.2904497916667,6.42756901818182
