"","Date","SecId","output","bin.output","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type"
"1",2013-12-02,117,4.873228,"0","0","0","0","0",0.938436420767923,0.0615635792320771,0,0.894,0.106,0.999158145974658,0.000841854025341698,0,0,0.0421013583143547,0,"test"
"2",2013-12-02,190,0,"0","0","0","0","0",0.962307830389363,0.0376921696106373,0,0.982,0.018,0.999730140428624,0.00026985957137577,0,0,0.0139905072955033,0,"test"
"3",2013-12-02,280,9.61665,"1","0","0","1","1",0.844416946089541,0.155583053910459,0,0.42,0.58,0.403175038921835,0.596824961078165,2,0,0.333102003747156,0,"test"
"4",2013-12-02,428,1.2089729,"0","0","0","0","0",0.936848002927472,0.0631519970725281,0,0.998,0.002,0.999907363334076,9.26366659237774e-05,0,0,0.016311158434613,0,"test"
"5",2013-12-02,472,-0.9274185,"0","0","0","0","0",0.896601221741963,0.103398778258037,0,1,0,0.999957505290347,4.24947096526628e-05,0,0,0.0258603182419224,0,"test"
"6",2013-12-02,480,-1.7241359,"0","0","0","0","0",0.922989702634488,0.0770102973655122,0,0.964,0.036,0.999758296445607,0.000241703554393485,0,0,0.0283130002299764,0,"test"
"7",2013-12-02,838,-5.255413,"0","0","0","0","0",0.884137993550019,0.115862006449981,0.000165200990180077,0.95,0.05,0.999218760663181,0.000781239336819103,0,0,0.0417021116942451,0,"test"
"8",2013-12-03,117,3.2749653,"0","0","0","0","0",0.944981933254503,0.0550180667454967,0,0.874,0.126,0.999155560610635,0.000844439389364963,0,0,0.0454656265337154,0,"test"
"9",2013-12-03,190,0.21551847,"0","0","0","0","0",0.968582285253663,0.0314177147463367,0,0.98,0.02,0.999872779107506,0.000127220892493412,0,0,0.0128862339097075,0,"test"
"10",2013-12-03,280,9.798074,"1","0","0","1","0",0.891578241683496,0.108421758316504,0,0.486,0.514,0.954897134685585,0.0451028653144152,1,0,0.16688115590773,0,"test"
"11",2013-12-03,428,1.6185045,"0","0","0","0","0",0.921220996640132,0.0787790033598678,0,0.998,0.002,0.999741396031894,0.000258603968106392,0,0,0.0202594018319935,0,"test"
"12",2013-12-03,472,-0.4658699,"0","0","0","0","0",0.92877537007468,0.0712246299253204,0,1,0,0.99995819342073,4.18065792702562e-05,0,0,0.0178166091261477,0,"test"
"13",2013-12-03,480,-3.2727242,"0","0","0","0","0",0.913148025694247,0.0868519743057528,0,0.96,0.04,0.999494000956244,0.000505999043755794,0,0,0.0318394933373771,0,"test"
"14",2013-12-03,838,-3.554052,"0","0","0","0","0",0.878325948144818,0.121674051855182,0,0.86,0.14,0.998927488742728,0.00107251125727186,0,0,0.0656866407781135,0,"test"
"15",2013-12-04,117,3.262639,"0","0","0","0","0",0.950103813352614,0.0498961866473864,0,0.932,0.068,0.999709135613096,0.000290864386903859,0,0,0.0295467627585726,0,"test"
"16",2013-12-04,190,5.417609,"0","0","0","0","0",0.979956604826432,0.0200433951735679,0,0.98,0.02,0.99973853637015,0.000261463629849485,0,0,0.0100762147008543,0,"test"
