"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",2165,2020,1644,2015,2068,2091,2007
"2","1","0",0,403,316,401,425,437,386
"3","0","1",0,145,521,150,97,74,158
"4","1","1",541,138,225,140,116,104,155
"5",NA,NA,9.45525207966728,5.54240611618375,3.4505999119571,5.99366225044828,6.41048068516432,7.05489934696629,6.18566046559105
