"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",2369,2326,1870,2257,2324,2348,2218
"2","1","0",0,543,384,460,544,546,457
"3","0","1",0,43,499,112,45,21,151
"4","1","1",592,49,208,132,48,46,135
"5",NA,NA,12.6414100913851,8.66526909409783,4.51737545502122,8.45403617151639,6.30861494929032,9.69501479955224,7.85944001096154
