"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",1513,1505,1251,1501,1494,1511,1458
"2","1","0",0,363,269,347,350,361,343
"3","0","1",0,8,262,12,19,2,55
"4","1","1",379,16,110,32,29,18,36
"5",NA,NA,11.8860006973615,14.1618201625,5.48479618479301,12.4893284725,10.3415850575,17.10038325,8.13736555714286
