"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",1126,1045,915,1040,1060,1093,1049
"2","1","0",0,196,178,161,191,207,193
"3","0","1",0,81,211,86,66,33,77
"4","1","1",282,86,104,121,91,75,89
"5",NA,NA,6.63359917269504,3.30161829476647,1.15568593446032,3.61945580874879,3.61246288461783,4.6551450299537,3.4053995238253
