"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",2464,2436,2074,2447,2459,2462,2414
"2","1","0",0,592,458,563,613,605,555
"3","0","1",0,28,390,17,5,2,50
"4","1","1",616,24,158,53,3,11,61
"5",NA,NA,8.72865027808442,4.84917807326923,0.510592004669708,8.78382494944286,2.43076469,8.73919823076923,3.9969966209009
