"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",2957,2864,2413,2749,2782,2869,2743
"2","1","0",0,653,503,530,598,642,573
"3","0","1",0,93,544,208,175,88,214
"4","1","1",739,86,236,209,141,97,166
"5",NA,NA,6.783346532341,3.2264234172067,1.48862169711667,3.60204893346523,2.91377895499684,3.74311110816216,2.55966969275
