"","Date","SecId","output","bin.output","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type"
"1",2013-12-02,104,6.952405,"1","0","0","0","0",0.976894967325696,0.0231050326743041,0.39305403952269,0.842,0.158,0.861433431987333,0.138566568012667,0,0,0.178181410052415,0,"test"
"2",2013-12-02,127,7.99073,"1","0","0","0","0",0.953683647393632,0.0463163526063678,0.113195339475209,0.812,0.188,0.904763606618162,0.0952363933818378,0,0,0.110687021365854,0,"test"
"3",2013-12-02,159,-0.26918054,"0","0","1","0","0",0.933251905991127,0.0667480940088726,0.690177995737482,0.72,0.28,0.944392502816322,0.0556074971836776,1,0,0.273133396732508,0,"test"
"4",2013-12-02,162,-6.8298397,"0","0","0","0","0",0.952285307191822,0.0477146928081781,0.00719303187466868,0.664,0.336,0.875500800621684,0.124499199378316,0,0,0.128851731015291,0,"test"
"5",2013-12-02,164,8.448362,"1","1","1","1","1",0.0434266060689051,0.956573393931095,0.977747588499341,0.266,0.734,0.492529017022712,0.507470982977288,4,1,0.793947991351931,1,"test"
"6",2013-12-02,181,5.2026033,"1","0","0","0","0",0.969698878262602,0.0303011217373982,9.6083028041803e-07,0.732,0.268,0.835285366200391,0.164714633799609,0,0,0.115754179091822,0,"test"
"7",2013-12-02,195,-0.9378135,"0","0","0","0","0",0.981599519849742,0.0184004801502581,8.67136933062962e-06,0.92,0.08,0.951367201773546,0.0486327982264541,0,0,0.0367604874365107,0,"test"
"8",2013-12-02,202,2.5759578,"0","0","0","0","0",0.883914387827116,0.116085612172884,0.171898559747851,0.774,0.226,0.610475858236037,0.389524141763964,0,0,0.225877078421174,0,"test"
"9",2013-12-02,207,5.480504,"1","0","0","0","0",0.977637976408656,0.0223620235913443,0.0526643898649682,0.946,0.054,0.948997178036218,0.0510028219637823,0,0,0.0450073088550237,0,"test"
"10",2013-12-02,21,1.9224882,"0","0","0","0","0",0.910357685067022,0.0896423149329776,0.000285726518865438,0.936,0.064,0.947675610864072,0.0523243891359279,0,0,0.0515631076469427,0,"test"
"11",2013-12-02,213,7.1032166,"1","0","0","0","0",0.96390723261036,0.0360927673896398,0.0449596444023844,0.856,0.144,0.76501554573315,0.23498445426685,0,0,0.115009216514718,0,"test"
"12",2013-12-02,214,2.6115417,"0","0","0","0","0",0.921202231070926,0.0787977689290739,2.1561589550831e-06,0.972,0.028,0.960029590672167,0.0399704093278327,0,0,0.0366925836039654,0,"test"
