"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",827,814,705,723,773,800,765
"2","1","0",0,200,148,144,168,190,168
"3","0","1",0,13,122,104,54,27,62
"4","1","1",207,7,59,63,39,17,39
"5",NA,NA,3.87091020628019,1.173942694,1.08133451820994,1.60119227113174,1.92875894892473,1.28511163704545,1.68396282221782
