"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",1513,1481,1267,1488,1504,1508,1477
"2","1","0",0,370,307,359,358,371,351
"3","0","1",0,32,246,25,9,5,36
"4","1","1",379,9,72,20,21,8,28
"5",NA,NA,11.8860006973615,4.48163258892683,4.11528712426415,8.85918056933333,13.287617989,10.5305748923077,6.76430346384375
