"","test.Actual","test.Predicted","test.actual","test.ksvm","test.nnet","test.rf","test.ada","test.voted","test.voted.prob"
"1","0","0",2957,2907,2518,2889,2891,2934,2872
"2","1","0",0,697,575,652,700,715,666
"3","0","1",0,50,439,68,66,23,85
"4","1","1",739,42,164,87,39,24,73
"5",NA,NA,6.783346532341,3.57151445434783,1.68134389741128,4.38753942306452,2.84739393028571,3.89877456106383,3.45048259572785
