100,0
107,0
115,0
116,0
124,1
126,0
131,1
136,1
139,1
152,0
157,0
16,1
165,0
169,0
172,0
176,1
183,0
184,0
193,1
194,1
209,0
221,1
239,0
242,0
245,0
248,0
263,0
269,1
273,0
279,1
286,0
301,1
32,1
329,1
330,1
333,1
349,0
350,0
354,1
363,1
367,0
370,0
380,0
385,0
390,0
394,1
395,0
398,1
399,0
409,0
415,1
422,1
450,1
451,0
456,1
457,0
459,1
461,0
481,0
495,1
505,0
511,0
517,1
524,0
53,1
532,1
538,0
541,1
562,0
568,1
571,0
579,0
581,0
584,0
591,0
603,1
608,1
623,0
629,0
630,1
646,1
648,1
652,0
653,0
661,0
666,0
671,0
674,1
681,0
692,1
694,1
696,1
705,1
706,1
709,0
715,0
717,0
723,0
728,0
736,0
737,0
739,1
745,1
755,1
766,1
784,1
79,1
796,1
800,1
827,0
843,0
845,1
850,1
857,1
859,0
871,1
874,1
878,1
881,0
893,0
896,0
898,1
91,0
