106,1
120,1
128,1
130,0
132,1
133,0
134,0
135,1
142,0
144,0
170,0
171,1
175,0
186,1
187,0
192,0
199,0
201,1
204,0
205,0
206,1
208,0
211,1
212,0
217,0
220,1
222,1
225,1
238,0
244,0
250,0
257,1
259,1
262,0
265,0
266,0
267,0
276,0
282,0
285,0
287,1
288,1
296,0
325,0
328,1
339,1
340,0
343,0
345,1
353,1
358,0
364,0
37,0
379,0
38,0
387,0
393,1
396,1
400,1
411,0
414,1
434,1
436,1
437,1
440,1
443,1
447,0
448,0
452,0
458,0
464,1
465,1
479,1
486,1
487,1
497,0
501,1
502,1
508,0
518,0
52,1
520,0
521,1
525,0
531,1
539,1
542,0
543,0
553,1
554,1
56,1
566,1
576,0
58,1
587,1
592,1
605,1
607,0
610,1
615,1
616,0
617,1
637,1
645,1
649,0
657,1
673,0
682,1
688,0
693,0
697,0
702,1
703,1
704,0
712,1
718,1
72,0
724,1
726,0
731,0
732,1
742,1
750,1
752,0
756,1
771,1
777,1
785,1
806,1
809,1
82,0
847,1
85,0
852,1
853,0
858,0
880,1
892,1
97,0
99,1
