1,1
110,1
129,1
146,0
161,0
167,1
196,0
20,0
22,1
228,0
231,0
241,0
246,1
268,0
271,1
290,1
293,1
30,0
302,0
308,0
317,1
34,0
355,1
359,1
365,0
375,1
388,1
39,0
4,1
418,0
425,0
435,1
439,0
453,0
454,0
463,1
470,0
474,1
493,0
499,0
5,1
500,0
516,1
544,0
55,0
558,0
575,1
580,1
588,0
59,0
593,0
599,0
6,0
60,0
619,1
64,1
665,0
667,0
668,1
670,1
672,0
68,0
680,1
71,0
720,0
730,1
733,0
740,1
754,1
764,0
77,1
794,1
810,0
818,1
828,0
841,0
844,1
848,1
86,1
868,1
87,1
877,0
885,0
89,0
9,1
92,1
