"FactSet Universal Screen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","GICS","","GICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","GICS","Ind","GICS","Sub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Company","","SEDOLCHK","ISIN","Sector","Group","Ind","Ind","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Div","","","","","","","","","","","","","","","","","","","","","","","","","Report","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Company Name","Symbol","Symbol","Name","Name","Name","Name","EC DATEN","TradingDay","TotRet1D","PriceRet1D","PriceRet10D","PriceRet20D","PriceRet50D","PriceRet100D","PriceRet200D","PriceClose","PriceOpen","PriceHigh","PriceLow","PriceHigh52W","PriceLow52W","VWAP","VolumeDaily","ShortInterest","MA10","MA20","MA50","MA100","MA200","DividendPS","SharesOutstanding","SharesLessCloselyHeld","CloselyHeldShares(%)","MarketValue","EPSMeanFY1","EPSMeanFY2","EPSMeanFY3","EPSMeanFY1Last3M","EPSMeanFY1Last6M","EBITDAMeanFY1","EBITDAMeanFY2","EBITDAMeanFY3","EBITDAMeanFY1Last3M","EBITDAMeanFY1Last6M","FCFPSMeanFY1","FCFPSMeanFY2","FCFPSMeanFY3","FCFPSMeanFY1Last3M","FCFPSMeanFY1Last6M","DPSMeanFY1","DPSMeanFY2","DPSMeanFY3","DPSMeanFY1Last3M","DPSMeanFY1Last6M","BPSMeanFY1","BPSMeanFY2","BPSMeanFY3","BPSMeanFY1Last3M","BPSMeanFY1Last6M","SalesPSMeanFY1","SalesPSMeanFY2","SalesPSMeanFY3","SalesPSMeanFY1Last3M","SalesPSMeanFY1Last6M","EPSMeanStdFY1","EPSMeanStdFY2","EPSMeanStdFY3","EBITDAMeanStdFY1","EBITDAMeanStdFY2","EBITDAMeanStdFY3","Earnings FY1 UpDngrade(3M)","Earnings FY2 UpDngrade(3M)","Earnings FY3 UpDngrade(3M)","Earnings FY1 UpDngrade(6M)","Earnings FY2 UpDngrade(6M)","Earnings FY3 UpDngrade(6M)","EBITDA FY1 UpDngrade(3M)","EBITDA FY2 UpDngrade(3M)","EBITDA FY3 UpDngrade(3M)","EBITDA FY1 UpDngrade(6M)","EBITDA FY2 UpDngrade(6M)","EBITDA FY3 UpDngrade(6M)","EPS FY1 Analyst Coverage","EV_EBITMeanF12M","EV_EBITDAMeanF12M","EV_FCFMeanF12M","EV_SalesMeanF12M","EPS_LTGMean","PEGMean","EBITDAMarginMeanF12M","EBITMarginMeanF12M","NetMarginMeanF12M","ROICMean","AssetTurnMeanF12M","NetdebtEbitdaMeanF12M","Capex_SalesMeanF12M","EPSPast","FCFPSPast","SalesPSPast","EV_EBIT(12M)","EV_EBITDA(12M)","Payout","ROIC(1Y)","CashFlowROIC(1Y)","InvestedCapitalPS","CapexPS","DebtCapital","DebtTotalAssets","DebtEBITDA","CashFlowOpsPS","CashFlowInvPS","CashFlowFinPS","CashDivCashFlow","NetCashTotalDebt","ShareRepurchaseAmtANN","ShareRepurchaseAmtQTR","ShareSalesAmtANN","ShareSalesAmtQTR","NumInsiderBuy","NumInsiderSales","NumShsBuy","NumShsSold","SharesChg3M","SharesChg6M","SharesChg12M","FERating","Date","EPSMeanLTMSlope(6M)","EPSPastSlope(6M)","EPSPastSlope(12M)","EPSPastSlope(36M)","EPSPastSlope(60M)","EPSPastSlopeStd(36M)","EPSPastSlopeStd(60M)","SalesPSPastSlope(6M)","SalesPSPastSlope(12M)","SalesPSPastSlope(36M)","SalesPSPastSlope(60M)","SalesPSPastSlopeStd(36M)","SalesPSPastSlopeStd(60M)","NetMarginPastSlope(12M)","NetMarginPastSlope(36M)","PriceSlope20D","PriceSlope50D","PriceSlope100D","PriceSlope200D","PriceSlopeStd20D","PriceSlopeStd50D","PriceSlopeStd100D","PriceSlopeStd200D","MoneyFlow14D","MoneyFlow50D","MoneyFlow200D"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPRT","Copart, Inc.","2208073","US2172041061","Industrials","Commercial & Professional Services","Commercial Services & Supplies","Diversified Support Services","20050209.0","20050209.0","-4.212302","-4.212302","0.5749583","-4.0506363","-13.371431","18.995285","2.3402333","11.37","11.82","11.875","11.355","14.055","7.43","11.5754","942032.0","42","11.642223","11.554334","12.037839","11.856711","11.005937","0.0","180.214","127.15277","29.41905","2049.0332","0.524","0.583333","42","0.501667","0.395","1.0421276","42","42","42","42","42","42","42","42","42","42","42","42","42","0.0","3.845","42","42","42","42","2.4760644","2.807587","42","42","42","0.012942","0.002887","42","42","42","42","1.0","1.0","42","42","0.0","1.0","42","42","42","42","42","42","5.0","42","42","42","42","14.0","1.5498909","39.30536","35.21479","22.01456","42","42","42","42","0.465","0.299207740587","2.23158069733","11.2385225619","9.14335341601","0.0","14.956848","20.870634","3.4674258","0.36150268","0.00233455967007","0.00206357390648","8.77602678011e-05","0.651130580846","-0.25840163","0.035758324","0.0","826256.164384","10.7231","0.0","6.4276","1.006","0.0","2.0","0.0","-11898.0","0.00024425983","0.0013780594","0.012790918","2.0","20050301","0.013447023","0.0141428571429","0.0133391608392","0.00362154440154","0.00443498193943","0.000408406966809","0.000160425913143","0.0209400384869","0.0247602902803","0.0188704488552","0.0210042839022","0.00053316093007","0.000372721196301","0.425969904398","0.0240292995453","-0.0002253337","-0.0032750124","0.003169601","0.00039584015","-0.24421777","-9.632077","11.105762","2.7553287","0.60607314","0.6494762","1.1678741"
"TASR","TASER International, Inc.","2767198","US87651B1044","Industrials","Capital Goods","Aerospace & Defense","Aerospace & Defense","20050209.0","20050209.0","-1.6425729","-1.6425729","-12.863797","-14.773697","-46.592937","-27.907532","1.4227629","14.97","15.1","15.37","14.9","33.45","10.269167","15.082","4966502.0","42","16.702778","16.735332","21.682432","23.9951","20.5079","0.0","60.1","56.403017","7.52415","869.6672","0.455","42","42","0.325","0.295","42","42","42","42","42","42","42","42","42","42","42","42","42","0.0","0.0","42","42","42","0.96","42","1.6505823","42","42","42","42","0.035355","42","42","42","42","42","0.0","0.0","42","0.0","0.0","42","42","42","42","42","42","42","2.0","42","42","42","42","30.0","1.0967033","42","49.19355","42","42","42","42","42","0.285","0.237733539461","0.917034744021","42.1195907666","41.4525533693","0.0","44.728077","64.70995","1.0731683","0.15318827","0.0113929578436","0.0103880839164","0.00025918002128","0.380380564152","-0.35937452","0.30601627","0.0","334062.198939","0.0","0.0","15.629877","5.885346","42","42","42","42","0.004183054","0.004183054","0.5105045","2.0","20050208","0.037708677","0.02576","0.0209444055944","0.0067612605042","0.0067612605042","0.000841908143964","0.000841908143964","0.0667123494704","0.0448880153686","0.0188997516377","0.0188997516377","0.00160232946902","0.00160232946902","1.37757028248","0.756245841572","-0.0110675655","-0.014545736","-0.00045194654","0.0028301044","-4.871715","-10.370364","-0.610305","11.083964","0.58624756","1.0029733","1.525776"
"ISIL","Intersil Corporation Class A","2551959","US46069S1096","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors & Semiconductor Equipment","Semiconductors","20050209.0","20050209.0","-2.2877872","-2.2877872","11.931026","16.427553","1.8832326","-0.73394775","-3.5077274","16.23","16.65","16.65","16.09","26.22","13.69","16.2834","1593442.0","42","15.782222","15.191333","15.264054","15.767809","16.176134","0.0","150.523","106.891604","25.65084","2442.9883","0.532667","0.67125","42","0.616111","0.849123","0.85946673","42","42","0.8769424","1.2598823","42","42","42","42","42","0.095","0.13","42","0.093333","0.12","16.83","17.57","42","14.971998","12.4425","3.5964608","4.080971","42","3.581907","4.039562","0.037673","0.083227","42","0.522551","42","42","42","0.0","0.0","0.0","0.0","0.0","1.0","1.0","42","0.0","0.0","42","17.0","42","42","42","42","20.0","1.5234659","23.549889","17.929564","17.942646","42","42","42","42","0.35","0.644160839161","3.80958741259","20.3983223288","13.8192457554","34.2857142857","2.1006122","5.043336","16.391575","0.06604971","0.0018643793704","0.00173907389023","0.000323528998045","0.831328671329","-3.4149532","-0.739103","10.4335799651","258434.782609","127.67","40.0","21.568","5.382","0.0","0.0","0.0","0.0","0.0","0.07394457","0.083390355","1.882353","20050201","-0.029038385","-0.0148571428571","0.0255944055944","0.00527027027027","-0.00532479185939","0.00315228620075","0.00254784208652","-0.00230765270002","-0.018345821203","-0.025120256009","-0.0508051587459","0.00604075562786","0.00608210522261","0.285013294109","0.409985282147","0.009296322","-0.0015611366","-0.00086860027","-0.0015232828","8.5069475","-3.120452","-5.577482","-21.863312","2.719059","1.0196878","0.9493229"
"HSII","Heidrick & Struggles International, Inc.","2413071","US4228191023","Industrials","Commercial & Professional Services","Professional Services","Human Resource & Employment Services","20050209.0","20050209.0","-3.6840558","-3.6840558","1.2078047","5.283499","-3.5988212","11.232138","33.061897","32.68","33.7","33.98","32.62","35.36","19.72","33.3033","63454.004","42","33.53222","32.755997","32.984325","32.60589","30.063192","0.0","19.173","18.383868","4.04372","626.5736","0.990006","1.435755","42","0.997947","0.916965","1.9664632","2.7580867","42","2.0459063","2.0647008","42","42","42","42","42","0.0","0.0","42","0.0","0.0","10.5438","11.7227","42","8.242427","6.989093","19.414003","21.054451","42","19.577177","19.317854","0.12779","0.121914","42","42","42","42","-1.0","1.0","42","0.0","0.0","42","-1.0","42","42","-1.0","42","42","4.0","9.709996","7.3133087","42","0.95802736","25.0","1.320396","13.09978","9.866403","6.872388","42","42","-4.535484","42","-0.31","1.50136361382","17.7899538851","10.6781702082","7.24079141709","42","0.46176824","17.852877","10.695457","0.28806135","0.0121898297812","0.00526555233538","0.000601380770248","1.77522685575","6.444479","0.4068221","0.0","143204.0","2.502","2.502","8.568","1.054","42","42","42","42","0.0030343533","0.012248635","0.047533274","1.75","20050224","0.022491213","0.761142857143","0.227027972028","0.00708365508366","-0.0794535359439","0.0196690410024","0.0106451417738","0.0766677380152","-0.00308545693628","-0.227259293898","-0.247230348826","0.0219702711626","0.0184068983809","1.46079899445","0.0470852228814","0.004307529","-0.0008287399","0.0018700857","0.0013723929","4.602956","-2.5729547","11.596829","18.352669","1.6379865","0.78347","1.0797148"
"SYKE","Sykes Enterprises, Incorporated","2860536","US8712371033","Information Technology","Software & Services","IT Services","Data Processing & Outsourced Services","20050209.0","20050209.0","-1.7496586","-1.7496586","0.968194","-2.6666641","7.195306","26.079453","11.79173","7.3","7.41","7.49","7.3","8.62","4.43","7.406","93662.0","42","7.2644444","7.292667","7.148244","6.9414387","6.0940256","0.0","39.177","26.108622","33.37598","285.9921","0.035","0.188333","42","0.004","0.004","0.7478878","1.1792635","42","0.7684862","0.6720586","42","42","42","42","42","0.0","42","42","0.0","0.0","4.945","42","42","4.94","4.865","11.830922","11.511415","42","11.703234","11.554552","0.050892","0.04535","42","42","42","42","1.0","42","42","1.0","-1.0","42","42","42","42","1.0","-1.0","42","6.0","42","42","42","42","15.5","13.456221","10.244296","3.3639874","1.784104","42","42","42","42","0.14","0.00896609694592","11.9771772078","27.9818330229","3.33437257042","0.0","2.5932791","15.753796","4.9460654","0.7698905","0.0113522606479","0.00739732015265","0.000750187546887","0.777248529","-0.5050157","-0.1835771","0.0","138700.0","7.064","0.0","0.342","0.045","0.0","1.0","0.0","-157000.0","-0.001096487","-0.024307072","-0.025423586","2.0","20050314","-0.0039769136","-0.0202857142857","0.0121678321678","0.00853281853282","-0.0243826062795","0.00442049153868","0.00398876111685","0.0409794178002","0.0242671573582","-0.00153385735381","-0.0634843926146","0.00654885141742","0.00618208658071","0.0905400283099","0.106709161738","-0.000863796","0.0028574653","0.0037643188","0.0006530081","-1.11767","9.831749","15.434291","3.4602034","0.49737087","0.93452954","1.3199319"
