X,RRC_DJI,RRC_DJV,RRC_S.P,RRC_FTSE,RRC_IMO_FTV,RRC_IMO_STI,RRC_IMO_STIV,SGPRIME,UKPRIME,USPRIME,IMO_USINF,IMO_UKINF,IMO_SGINF,SG.D,P.D
01-Jul-87,-0.798799076,-0.701637696,-0.818436879,-0.657917022,-0.786238034,-0.814097622,-0.509360784,5.5,10,8.25,3.9,4.41,1.29,0.4722,1.6175
08-Jul-87,-0.769155133,-0.716479551,-0.793030319,-0.571977543,-0.421916207,-0.656683972,-0.467025277,5.5,10,8.25,3.9,4.41,1.29,0.471,1.6182
15-Jul-87,-0.758344199,-0.368499236,-0.782915184,-0.510507628,-0.477479827,-0.55370939,-0.215128248,5.5,10,8.25,3.9,4.41,1.29,0.4735,1.637
22-Jul-87,-0.765759286,-0.734706617,-0.792175519,-0.584212325,-0.435529356,-0.54246867,-0.354013144,5.5,10,8.25,3.9,4.41,1.29,0.4726,1.5975
29-Jul-87,-0.727830787,-0.478130194,-0.758078492,-0.546126631,-0.457017451,-0.548502933,-0.526853766,5.5,10,8.25,3.9,4.41,1.29,0.4738,1.6005
05-Aug-87,-0.713006082,-0.313708683,-0.744781601,-0.610951245,-0.224539067,-0.495959102,-0.608878331,5.5,10,8.25,4.29,4.4,1.4,0.4738,1.58
12-Aug-87,-0.656862499,-0.104290411,-0.67858208,-0.641834203,-0.024883707,-0.313014203,-0.528954456,5.5,11,8.25,4.29,4.4,1.4,0.4753,1.5795
19-Aug-87,-0.658776423,-0.196895611,-0.690739237,-0.72915503,-0.662841692,-0.440016913,-0.661303659,5.5,11,8.25,4.29,4.4,1.4,0.4756,1.6225
26-Aug-87,-0.639073946,-0.292352107,-0.6682295,-0.677847878,-0.707007966,-0.282080439,-0.661883886,5.5,11,8.25,4.29,4.4,1.4,0.4745,1.618
02-Sep-87,-0.69365358,-0.42133103,-0.729442687,-0.677946545,-1.146072079,-0.454372794,-0.683553354,5.5,11,8.25,4.3,4.17,1.05,0.4763,1.6545
09-Sep-87,-0.72251008,-0.650299897,-0.766294071,-0.678341216,-0.941558595,-0.371897278,-0.70848971,5.5,11,8.75,4.3,4.17,1.05,0.4795,1.646
16-Sep-87,-0.732943698,-0.574321627,-0.761830114,-0.648050262,-0.982776706,-0.437184949,-0.830387168,5.5,11,8.75,4.3,4.17,1.05,0.4782,1.646
23-Sep-87,-0.702605274,-0.558038846,-0.731769643,-0.576417585,-0.604396488,-0.584054978,-0.777098201,5.5,11,8.75,4.3,4.17,1.05,0.4782,1.6435
30-Sep-87,-0.696803351,-0.526222694,-0.728730354,-0.562998791,-0.695246522,-0.515434303,-0.787978893,5.5,11,8.75,4.3,4.17,1.05,0.4789,1.6255
07-Oct-87,-0.721520308,-0.394273471,-0.744354201,-0.569116182,-0.573545842,-0.404944124,-0.807557246,5.5,11,9.25,4.48,4.47,0.81,0.4769,1.643
14-Oct-87,-0.79719138,-0.266344687,-0.807561921,-0.605524527,-0.606354301,-0.444635193,-0.816595765,5.5,11,9.25,4.48,4.47,0.81,0.478,1.658
21-Oct-87,-1.007640955,3.266166431,-1.0300474,-0.979573398,0.629645994,-1.452879862,-0.658458057,5.5,11,9.25,4.48,4.47,0.81,0.4785,1.649
28-Oct-87,-1.106634553,0.971289788,-1.149244529,-1.261170729,0.720737373,-1.790646073,-0.342301367,5.5,10.5,9,4.48,4.47,0.81,0.4818,1.725
04-Nov-87,-1.052787679,0.238109534,-1.07478194,-1.310800532,-0.023300396,-1.693487911,-0.675384217,5.5,10.5,9,4.53,4.13,1.4,0.4863,1.753
11-Nov-87,-1.077991319,-0.276654703,-1.1083091,-1.28001624,-0.083472471,-1.860573809,-0.686211291,5.5,10,8.75,4.53,4.13,1.4,0.4895,1.7865
18-Nov-87,-1.05613978,-0.477829465,-1.090975653,-1.255941346,-0.32852372,-1.739017184,-0.748004509,5.5,10,8.75,4.53,4.13,1.4,0.4892,1.7735
25-Nov-87,-1.051879932,-1.139170894,-1.097861543,-1.255546676,-0.935460453,-1.769297419,-0.838004801,5.5,10,8.75,4.53,4.13,1.4,0.491,1.7935
02-Dec-87,-1.105458857,-0.934060924,-1.148437217,-1.328363364,-1.130053794,-1.857088314,-0.825153635,5.5,10,8.75,4.4,3.71,1.52,0.4931,1.8125
09-Dec-87,-1.076175826,-0.382408349,-1.122603258,-1.28001624,-0.823900456,-1.974941601,-0.746451492,5.5,9.5,8.75,4.4,3.71,1.52,0.4926,1.8045
