"","SecId","BBTicker","CompanyName","SML","Date","Sector","BookYieldFY1","BookYieldFY2","BookYieldFY3","DividendYieldFY1","DividendYieldFY2","DividendYieldFY3","EarningsYieldFY1","EarningsYieldFY2","EarningsYieldFY3","EBITDAYieldFY1","EBITDAYieldFY2","EBITDAYieldFY3","SalesYieldFY1","SalesYieldFY2","SalesYieldFY3","EBIT_EV_NTM","EBITDA_EV_NTM","SALES_EV_NTM","PEGFY1","EarningsYield1Y","FCFYield1Y","SalesYield1Y","EBIT_EV1Y","EBITDA_EV1Y","BookRevFY1_3M","BookRevFY1_6M","DivRevFY1_3M","DivRevFY1_6M","EarningsRevFY1_3M","EarningsRevFY1_6M","EBITDARevFY1_3M","EBITDARevFY1_6M","SalesRevFY1_3M","SalesRevFY1_6M","EarningsFY1Std","EarningsFY2Std","EarningsFY3Std","EBITDAFY1Std","EBITDAFY2Std","EBITDAFY3Std","EarningsFY1UpDnGrade_3M","EarningsFY2UpDnGrade_3M","EarningsFY3UpDnGrade_3M","EarningsFY1UpDnGrade_6M","EarningsFY2UpDnGrade_6M","EarningsFY3UpDnGrade_6M","EBITDAFY1UpDnGrade_3M","EBITDAFY2UpDnGrade_3M","EBITDAFY3UpDnGrade_3M","EBITDAFY1UpDnGrade_6M","EBITDAFY2UpDnGrade_6M","EBITDAFY3UpDnGrade_6M","EarningsFY1Cov","EBITDAMarginNTM","EBITMarginNTM","NetMarginNTM","NetDebtEbitdaNTM","DivRatio","ROIC1Y","CROIC1Y","DebtCapLQ","DebtTALQ","DebtEbitdaLQ","OpCFOverFCF1Y","OpCFOverEarnings1Y","OpCFOverCDiv1Y","NetCashDebt1Y","SharesChg3M","SharesChg6M","SharesChg12M","EPS_LTGMean","EPSMeanLTMSlope6M","EPSPastSlope6M","EPSPastSlope12M","EPSPastSlope36M","EPSPastSlope60M","EPSPastTStat36M","EPSPastTStat60M","SalesPSPastSlope6M","SalesPSPastSlope12M","SalesPSPastSlope36M","SalesPSPastSlope60M","SalesPSPastTStat36M","SalesPSPastTStat60M","NetMarginPastSlope12M","NetMarginPastSlope36M","PriceSlope20D","PriceSlope50D","PriceSlope100D","PriceSlope200D","PriceTStat20D","PriceTStat50D","PriceTStat100D","PriceTStat200D","MoneyFlow14D","MoneyFlow50D","PriceRet10D","PriceRet20D","PriceRet50D","PriceRet100D","PriceMA20","PriceMA50","PriceMA100","PriceMA200","Price52WHigh","Price52WLow"
"1",12,"ADM  ","Archer-Daniels-Midland Company                     ","L",2009-06-01,"Consumer Staples          ",1.30917678201081,1.3516477895629,1.21513545497455,-0.350703333430555,-0.327507833488802,-0.526023582990647,1.63865601911068,0.32251806396406,-0.151412860036202,0.70943855020376,-0.0784116358123556,-0.276381634996259,1.75493448612951,1.75506066516946,1.72104663777381,0.50287271071794,0.160410545521482,1.59317652930514,0.889217606621915,1.78787541345577,3,1.75634075466709,1.61177794132224,1.1887966954071,-0.0245145426714028,0.329220028227138,NA,NA,-1.02283991539475,-0.328470371494961,-0.797739260817166,0.169106012528583,-1.38672304716439,-0.466142639508095,0.769541589969612,1.06010868153501,-0.294661000365839,1.76438119216395,1.81620499365541,NA,0,0,0,0,0,0,0,0,0,0,0,0,-0.00465402261690903,-1.20771335649036,-1.04494199693166,-0.940951801366227,-0.122180232457725,NA,0.0121478083474413,0.901769662658908,-0.442215199596793,-0.457732007443663,-0.0500043122793264,-0.516200086511309,1.37010820219985,NA,0.913700802074506,-0.184019576307776,0.124467222571764,-0.188003420796539,-0.332537087960268,0.482817269966368,0.713413623893364,0.725871327001278,1.48146709198929,1.73902074609068,0.228410321597338,1.00261471968888,0.39236017074687,1.65107123913548,1.60994708236907,1.65186039974826,-0.354662157913834,-0.760385876794113,0.132899612416214,0.0505119978015549,1.47003636545884,-1.25141219578577,-0.685613521293023,1.70916424909331,0.860330146024943,1.66762418379813,-0.540539931011803,0.082264217064168,0.0408732354910839,1.38586485573485,0.321943430486162,1.12216536634285,-0.023270236646217,-0.637759734263497,0.568350974507969,0.409696977648388,-0.473729852953735,-0.452073388539138,-0.309439685480231,1.18171845159832
"2",46,"AVP  ","Avon Products, Inc.                                ","L",2009-06-01,"Consumer Staples          ",-1.09328185256328,-1.17083047388419,-1.06068581583,0.291007168914336,0.287301226254351,0.419956786141595,-0.538015016756134,-0.405636730737019,-0.250339559464739,-0.80888335087296,-0.707762174424551,-0.632698007001504,-0.52800737124268,-0.523596999186127,-0.532031429467345,-0.696348657218669,-0.974234052712791,-0.451433589613974,0.259913375872425,0.420217868198847,-0.369074133765897,-0.487071238416133,0.431168652527973,0.0308824417909043,-1.94609011110015,-1.08218237956987,NA,NA,-0.792560557934303,-1.02291546494234,-1.44150552272711,-1.87207626503737,1.09751660906327,-0.811962750953178,0.0981094353415924,0.0659737621541625,0.0830038153202235,-0.241702913597337,-0.244392986134329,NA,0,0,0,0,0,0,0,0,0,-3,0,0,0.223393085611626,-0.355219278549283,-0.268751810254834,-0.274972574517884,-0.380744496380673,NA,1.91186483892895,1.34348128574486,1.10202445823686,0.50492609210341,-0.362154170510768,-1.25438355666463,-0.187718238615141,NA,-0.325641379931608,0.045885358292275,0.183692838618689,-0.10783777906949,0.870920426010108,-1.107251632172,0.862894267050981,1.10279457411837,0.412604065233232,-0.336200752448966,-0.328743708763184,-0.920031402225169,-0.602493954772499,-0.119458802560054,0.0078190374506472,-0.0676748695722952,0.423703413313616,0.499956926448823,1.45265209394858,0.591180783636384,2.33321994401551,1.17472668501374,0.564240678415009,-1.62888465113465,1.03723608229626,0.115627396824482,1.62697889701998,1.43709214033616,1.19876476631153,0.968932511645958,0.700271270050895,2.77322817003202,1.2537505461349,1.25889456202572,1.0012810229809,1.18405303895636,1.05685667774955,0.608069540454977,-1.2290176104218,0.774228690577986
"3",60,"BF.B ","Brown-Forman Corporation Class B                   ","L",2009-06-01,"Consumer Staples          ",-0.400945827818846,-0.465301629452428,-0.498508397903037,-0.0179530335671541,-0.00300771197347018,0.0625350659517751,-0.456441508601793,-0.760728693991894,-0.85989326822811,-0.95266420189098,-1.04355823743336,-1.06847734965827,-0.94948966744151,-0.97819785068674,-1.00333646389419,-0.663838668854438,-1.2075360816899,-0.955081342951443,-0.870258071171268,0.195107863107119,0.224341019212784,-1.02296234062341,-0.399773321890553,-0.724894642588364,0.43090096024966,0.145638080157,NA,NA,-0.590847135957523,-0.299303641322676,-1.25835600803845,-0.536573888105195,-1.33217424345137,-0.55003953071037,-0.543379242810903,-0.292097660929757,-0.457148740128935,-0.923953562349718,-0.532411522572593,NA,0,0,0,0,0,0,-3,0,0,0,0,0,-1.14488956375958,0.562235859832613,0.736254256011434,0.804506942596315,-0.683486176496381,NA,0.557646467463486,0.053724262647177,-0.482032284873076,-0.129337378513518,-0.440929747949296,-0.118461514365081,0.0153172852905001,NA,0.105971712783942,-1.64766184487177,-0.642929229069958,1.83789611106276,-0.647374945365073,-0.598449716794507,0.455064099876272,0.380312146320043,0.26375424635595,0.324061301854736,-0.096527932197242,0.515057573171168,-0.3032659862266,-0.441972494282892,-0.722204171557283,-0.819218229783797,-1.04457578855989,-1.23815031938821,0.784725422432413,0.211275518039347,-1.11634674639927,0.469099296044401,-0.503824753201225,-0.312851311543741,-0.640883680238533,0.349358118494076,0.247811910392706,-0.471088720340845,-0.909434524254653,1.1403190876612,0.0117856521004286,-0.91746656985235,0.156465613260515,-0.421977775023926,-0.45581634150154,-0.513815378673581,-0.386217982315422,-0.598929134393669,-0.0283941734736022,-0.382222741938997
"4",76,"CAG  ","ConAgra Foods, Inc.                                ","L",2009-06-01,"Consumer Staples          ",0.809989884186166,0.728423731714115,0.538148532492386,0.851596197573452,0.805570260594546,0.886590351929595,0.369286600433815,0.32270685862187,0.221598746438346,0.227445431473882,0.157079673885399,0.153733659420082,0.198579986978015,0.152484947395406,0.132282552754277,0.18406049392293,0.0441191239314354,0.0753020032506733,-0.450633484996574,0.760456529146184,-2.38399781195771,-0.0619042223717699,-0.683122984160545,-0.515281814432072,0.515547058471757,0.961489300633132,NA,NA,0.43195986689927,0.335440447829909,0.490288384410738,0.593992944028131,0.168460732291934,0.533228861801585,-0.593001557431764,-0.697018500181522,-0.752349348670903,-0.923650941690059,-0.63394309984319,NA,0,0,0,0,0,0,0,0,0,0,0,0,-0.460748239073978,-0.489632116376227,-0.455696891531124,-0.462705678529469,0.454810467223724,NA,-0.640428381740678,-1.84770302527895,-0.232231258549812,-0.0732168510140393,1.20445527998089,0.681713476834428,-1.34533106515908,NA,-1.37482362596271,-0.163101642263766,0.0770636171606125,-1.95151817429708,-0.73368959261706,-0.418416800897392,-0.281493002687609,-0.0129434147464073,0.587776260264843,-0.0508494768180437,-0.0932600874862377,-0.651195080445257,-0.112654504783828,-0.885837430972418,-0.781995409506702,-1.20126884313506,-1.29376064236587,-1.59586787074313,-0.968998018798935,-0.0369799868980188,0.687609710424501,-0.0797856629864447,0.0772615545842216,0.400756172512526,-0.738704619568385,-0.661509064288199,0.0291889711942642,-0.18261083352073,1.59954381187795,1.9585156814252,-0.129031602336925,0.595724154289507,-0.244018975864969,0.170071833792779,-0.0812671193096071,-0.245826486956947,-0.123060727215228,-0.00219799025887578,0.447725871927148,-0.22860921527682
"5",83,"CCE  ","Coca-Cola Enterprises, Inc.                        ","L",2009-06-01,"Consumer Staples          ",-1.07682435915682,-1.00861359952481,-0.936183887504685,-0.526262747741203,-0.611604958112299,-0.63483732805528,0.176227636195481,0.169132004985543,-0.0142846542402757,2.04434739026442,1.96049093975291,1.80883116463279,1.4267927042755,1.39882958870738,1.38241237795081,-0.624551919658674,0.676343203769482,0.449238015034898,-0.346620072358055,-2.48787032952766,0.591362281937907,1.19347605911721,0.0103962947388645,0.799171082286851,-1.94609011110015,-2.14391289349444,NA,NA,0.915269644501474,0.214629174521741,0.801382339979552,0.218542272955217,0.259623029827931,0.542074233187891,0.597901455123102,0.36820651899764,1.28592383792287,-0.177028525328302,-0.415780772338785,NA,3,3,3,0,0,0,3,3,3,0,0,0,0.223393085611626,-0.562975015543138,-0.78326919815915,-0.890458444349413,1.53307400515201,NA,-2.64825653074165,-0.338397562898464,1.92391942197916,1.50766962013474,1.33660237876364,-2.43802089166209,-1.37823244619741,NA,-0.669239773616648,-0.202869761096854,0.0316592367645997,-0.102169414281128,-0.516131217591526,0.245798077599328,-2.69198050447398,-2.78857396628252,-2.386332733727,-2.17817746994048,-1.23370916839174,-1.35718567461627,-0.00373623625579659,0.00731384840685893,-0.252998106000567,-0.314558543068675,0.379572221958689,0.0459521032126085,-3,-3,-0.649212717105444,1.39732930118092,1.61812675251434,1.28188712664419,-0.63447614611991,0.714959345265208,0.845625772504843,1.78127237967183,-0.756922129195979,0.714727947069649,-0.160683372579452,-0.869799190745822,0.683828148281132,0.95362752457836,-0.567022590904207,-0.289027788392733,0.358770894476856,0.921092769064931,0.897759941568129,1.70926529282645
"6",94,"CL   ","Colgate-Palmolive Company                          ","L",2009-06-01,"Consumer Staples          ",-1.10086266121356,-1.15033195389431,-1.11273426067595,-0.0314213657645968,0.00165705061366684,0.133439890404388,-0.440203420837275,-0.544905774869845,-0.588209954774253,-0.811108207598876,-0.798092508152851,-0.80924592382529,-0.968681162118363,-0.973366796106742,-0.976162312932036,-0.434511975159885,-0.949140063242607,-0.969295015181124,-0.281255195812559,-0.0543655701197486,-0.0704209114815728,-0.969509969913874,-0.584410625028522,-0.828285741520626,-0.0162687494540858,-0.125595254729899,NA,NA,0.0683036810642301,0.563865183920882,0.462169880392919,0.8125088491865,0.209194121631601,0.211507221369148,-0.617667026098427,-0.67052078983075,-0.38754976130906,1.41369708266986,0.216703419874521,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.13558151852576,0.81924882910177,0.928579702981166,1.0144118338748,-0.648731186354482,NA,1.80689871340935,1.60655971227855,0.634049864730097,0.325149802799172,-0.777432591206332,0.104841296704675,0.10785026756722,NA,0.496700164432568,-1.90204952872736,-0.944188277380644,-0.506638901965233,0.0686154166965244,0.531811101235967,0.48099691194617,0.475342118892941,0.449996152102153,0.179824533532791,1.01613891382616,0.0601706620871182,0.0139435808311474,-0.135793952363792,-0.393056180212359,-0.425543847688258,0.857420423758491,0.391666222706012,0.620757859690691,0.617957170044626,0.759184728833527,-0.0605524344337237,-0.411105623523115,0.0101681379703891,-0.367451413058516,-0.791110752262199,-0.767222233508681,-0.694996714471836,1.62804898037476,0.480835473405589,1.34587554106867,1.0794382540648,0.551697714121759,-0.0202910132349651,0.565202013286629,0.587028508184189,0.0602277637145828,-0.162052761047172,1.10827532184369,-0.482583592872419
"7",96,"CLX  ","The Clorox Company                                 ","L",2009-06-01,"Consumer Staples          ",-1.4189922103927,-1.31158022385113,-1.05139520962587,0.519443716730271,0.574979541637583,0.685496868801047,0.0334738045238498,0.0201264965687844,0.130391754753891,0.0293562173619988,0.021848944146928,0.0560249843830111,-0.631676603302264,-0.655607387600359,-0.657370991293089,-0.0325059422678766,-0.260218965344782,-0.766130218112551,-0.0514202042700832,0.191044007600171,0.0171654289011735,-0.659689743181971,-0.53023050145334,-0.619196889159717,0.79109653683481,-2.14391289349444,NA,NA,0.276696741075641,0.212386087766022,0.321771446251571,0.317288728314467,0.104873881397119,0.0688541016730794,-0.548479148399619,-0.625851587517725,-0.191908813313196,-0.872069685136584,-0.942987795621683,NA,0,-3,0,0,0,0,0,0,0,0,0,0,0.679487302068695,0.582077765514931,0.499081933313694,0.308561168939217,0.6998718971809,NA,0.865997497582875,0.817265134024241,2.42810374848922,2.59459762357821,0.85184944500013,0.260736819606489,0.231019136857948,NA,-0.661991712181552,-0.1663475278159,0.28608092899297,0.0963495054939898,-0.109674674518162,0.653702164090346,0.199650365904829,0.378826768228254,0.322020295968672,0.300244919621244,0.252701450003248,0.210976177887746,-0.048537336385784,0.206898275204747,0.235376441850221,0.411310285264162,-0.121944530508604,-0.14307931776819,0.166872117346372,0.0396286006841045,-0.493876777656955,-0.962131858346307,-0.13988291379567,-0.0206358899920864,-0.544652098056416,-0.119038456695396,-0.926493330974124,-0.964466670629459,0.383543376430446,-1.30951141584858,-0.113855868223796,-0.257505336923192,-1.18032071399972,-0.497715623292771,-0.442444340380311,-1.07018060820846,-0.833970711523522,-0.768159376640074,0.626765381809507,-0.737397351384652
"8",110,"COST ","Costco Wholesale Corporation                       ","L",2009-06-01,"Consumer Staples          ",0.188561410179013,0.125285294978788,0.159064534184569,-0.609660618632058,-0.571389127802882,-0.453977185539003,-0.881884676570686,-1.13393224868307,-1.13749774110675,-0.723816180839022,-0.766318167095612,-0.778215839645576,1.75493448612951,1.75506066516946,1.72104663777381,-0.584967224365913,-0.335318335181152,1.59317652930514,-0.396516983713059,0.0714391066602904,-0.348347142691482,1.75634075466709,-0.0955472599859332,-0.0339158077458808,0.323255269536881,0.271011505662305,NA,NA,-0.668372550246704,-0.771548251652008,-0.110973380892035,-1.06758282034819,-0.195318673036395,-0.619777997775942,-0.110187555192111,0.0223550271960538,0.263906851411134,-0.548169976367496,-0.34757381033964,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.907534410297229,-1.32396684716987,-1.183197046525,-1.08383458717801,-1.66078731704076,NA,-0.0885598259660413,-0.257411364613156,-1.08007057696422,-1.25011762208009,-0.93252749988209,-0.4561374060227,0.399311679471313,NA,1.05517636089831,0.145954820383879,0.573160517119285,-0.0734319249901055,0.454910569755844,-1.58522667911754,0.0365509189243421,0.393201394922994,0.478451298519277,0.436822072249021,0.233640567713503,0.906512134834655,1.69972184608322,1.65107123913548,1.60994708236907,1.65186039974826,1.80733334793817,1.11612421609678,0.411830484811969,0.259639478757828,0.708112606390069,-0.662014568129341,-0.134965613412208,-0.749983854151652,0.400804664680115,-0.632728268483465,-0.310012037605289,-0.379594600137206,-0.666505950537178,-0.856522746313156,-0.107808113866816,0.523073912691928,-0.37735473910475,-0.0413018836206926,0.0308653132516653,-0.211600570630209,-0.333089272526937,-0.487577080800007,-0.67972717835697,-0.431871095400415
"9",112,"CPB  ","Campbell Soup Company                              ","L",2009-06-01,"Consumer Staples          ",-0.922395213327647,-0.968213612514152,-1.07443783055296,0.52729409363818,0.540406996028492,0.721015997985303,0.223452797111565,0.110082353040944,-0.00795423985465886,-0.152080387430789,-0.219635886061888,-0.318949052958199,-0.616100216783572,-0.629166420168786,-0.640821741859153,-0.0879675690025708,-0.270458919274697,-0.658054517545813,-0.536992568291344,0.121296288315358,-0.23996748293734,-0.618237269249969,-0.198740107691854,-0.350136750234015,-1.33493035251614,-0.806930897889581,NA,NA,0.298062802459822,0.161781255893202,0.604276588198282,0.0372947747388866,0.130290060572547,-0.0713297914540226,-0.643354214325039,-0.626640406222636,-0.34431066077844,-0.729739106905304,-0.776844357054092,NA,0,0,0,0,0,0,0,0,-3,0,0,-3,0.907534410297229,0.306500634018974,0.24306466363271,0.248301133624888,0.139972601109749,NA,0.560360126820929,0.240780254367332,0.862209631620312,0.795080328286292,-0.322598568975216,0.42456286266752,0.139153382779197,NA,-0.402067082056822,-1.90204952872736,-1.82292388605503,-1.77449183391013,-0.73368959261706,0.492360525955641,0.118318108343892,-0.034758622020759,-0.141743319199807,0.00459585845890305,-0.907121984215524,-0.437518548411963,-0.0791808635705032,-0.158065322926936,-0.450263531804989,-0.480643587151275,0.416363440202571,0.14988559781761,-0.0193681101649786,-0.390584262338524,0.693415759127379,-0.668148920002386,-1.05849937533666,-0.95728364730909,-1.13855178981878,-0.309393154606035,-0.803250816202876,-0.81156118990794,-0.900479376953912,-0.314831846274406,0.0770396996091399,0.289267171426606,-0.148617738869782,-0.915715398778754,-0.141327564674319,-0.0882323375443047,-0.554864720092572,-0.795581027368645,-0.411088503861245,-0.739585027552471
"10",122,"CVS  ","CVS Caremark Corporation                           ","L",2009-06-01,"Consumer Staples          ",1.44432010732379,1.59414617527149,1.57101511552844,-0.799985054079987,-0.885316096445579,-0.833382661450773,0.638689854529523,1.03323026343579,1.08859206302235,0.21032820383034,0.287110827954456,0.340759128352102,0.954906426661438,1.00907389199227,1.07816902206781,0.873131533846199,0.563080787645127,1.17946904449894,1.86151183092994,0.352398115701854,0.111827018589083,0.536182855405517,0.321820751110454,0.103975576931868,0.353863021336523,0.823761143182711,NA,NA,0.5760069713996,0.590324158178044,0.0511662788173315,0.737671522468304,0.202858931442894,1.91038053621809,1.31723581768651,1.06168857399471,-0.330592445252906,-0.226834858073609,0.710607810040541,NA,0,0,3,0,0,0,0,0,0,0,0,0,2.0477699514399,-0.875020165652263,-0.76427340737048,-0.752034580807209,-0.349923358680638,NA,-0.370361113606701,-0.838535514775514,-0.917623857259858,-0.776118293252559,-0.33346923191563,2.12901284433493,0.183273837751146,NA,-0.226517360614803,2.05594891407959,1.3714756148972,0.32977313305092,1.13835542911464,0.775578450028585,0.411271898362011,0.410142919241796,0.505784949047121,0.503227182798553,1.74137303862878,1.96209806389474,1.35440129795735,0.220632327549852,0.827232501746995,0.914229575182313,-1.04217481481433,-0.60462493359444,0.558315048745755,0.427576836251325,-1.65127379244982,-0.241335934928121,0.339908382498149,0.239300473168679,0.320500567598762,0.294270547442725,-0.595605377588171,-0.285442522696249,-1.06130038626774,-0.407417987997574,0.0879089392829227,-1.6034216667202,-0.769959475477404,-0.31354980627202,-0.669214656121608,-0.891600794576185,-0.545710926992503,-0.347562397889889,-0.434577277070082,-0.39647170592227
