"True Negative","False Negative","False Positive","True Positive","Mean Of Bought Returns","Models","Date","Sector"
100,15,2,11,21.8868596153846,"rf",2009-04-01,"Information Technology"
100,18,2,8,19.817133,"ada",2009-04-01,"Information Technology"
100,18,2,8,21.8019606,"voted",2009-04-01,"Information Technology"
100,17,2,9,21.8004292727273,"voted.prob",2009-04-01,"Information Technology"
100,19,2,7,22.4200977777778,"PCA_ksvm",2009-04-01,"Information Technology"
88,12,14,14,13.3944805642857,"PCA_nnet",2009-04-01,"Information Technology"
100,16,2,10,21.45330625,"PCA_rf",2009-04-01,"Information Technology"
100,18,2,8,21.3356066,"PCA_ada",2009-04-01,"Information Technology"
100,18,2,8,21.8019606,"PCA_voted",2009-04-01,"Information Technology"
100,16,2,10,21.89533825,"PCA_voted.prob",2009-04-01,"Information Technology"
101,0,0,26,23.4078441538462,"actual",2009-05-03,"Information Technology"
99,26,2,0,10.364121,"ksvm",2009-05-03,"Information Technology"
86,10,15,16,18.1657446129032,"nnet",2009-05-03,"Information Technology"
92,13,9,13,20.061372,"rf",2009-05-03,"Information Technology"
94,17,7,9,18.7383465625,"ada",2009-05-03,"Information Technology"
95,19,6,7,18.4265466923077,"voted",2009-05-03,"Information Technology"
92,15,9,11,19.65371775,"voted.prob",2009-05-03,"Information Technology"
97,26,4,0,7.8952937,"PCA_ksvm",2009-05-03,"Information Technology"
87,13,14,13,17.6209699814815,"PCA_nnet",2009-05-03,"Information Technology"
96,18,5,8,20.6635656153846,"PCA_rf",2009-05-03,"Information Technology"
97,25,4,1,12.70640854,"PCA_ada",2009-05-03,"Information Technology"
99,25,2,1,15.8539256666667,"PCA_voted",2009-05-03,"Information Technology"
96,22,5,4,18.5748175555556,"PCA_voted.prob",2009-05-03,"Information Technology"
101,0,0,26,6.20220438846154,"actual",2009-06-01,"Information Technology"
100,23,1,3,1.96616375,"ksvm",2009-06-01,"Information Technology"
97,20,4,6,4.621464064,"nnet",2009-06-01,"Information Technology"
101,24,0,2,11.2364355,"rf",2009-06-01,"Information Technology"
101,24,0,2,11.2364355,"ada",2009-06-01,"Information Technology"
101,24,0,2,11.2364355,"voted",2009-06-01,"Information Technology"
101,24,0,2,11.2364355,"voted.prob",2009-06-01,"Information Technology"
101,23,0,3,8.15058966666667,"PCA_ksvm",2009-06-01,"Information Technology"
93,20,8,6,1.12169042857143,"PCA_nnet",2009-06-01,"Information Technology"
101,24,0,2,11.2364355,"PCA_rf",2009-06-01,"Information Technology"
101,24,0,2,11.2364355,"PCA_ada",2009-06-01,"Information Technology"
101,24,0,2,11.2364355,"PCA_voted",2009-06-01,"Information Technology"
101,23,0,3,11.5281146666667,"PCA_voted.prob",2009-06-01,"Information Technology"
101,0,0,26,27.8031726923077,"actual",2009-07-01,"Information Technology"
97,16,4,10,23.6702797142857,"ksvm",2009-07-01,"Information Technology"
35,1,66,25,19.1523481538462,"nnet",2009-07-01,"Information Technology"
32,1,69,25,18.8634328138298,"rf",2009-07-01,"Information Technology"
47,1,54,25,19.3495133607595,"ada",2009-07-01,"Information Technology"
51,1,50,25,20.0925974533333,"voted",2009-07-01,"Information Technology"
41,1,60,25,19.4742332,"voted.prob",2009-07-01,"Information Technology"
94,23,7,3,20.7297933,"PCA_ksvm",2009-07-01,"Information Technology"
36,1,65,25,18.8196104666667,"PCA_nnet",2009-07-01,"Information Technology"
49,2,52,24,19.7814832039474,"PCA_rf",2009-07-01,"Information Technology"
80,11,21,15,23.0954483333333,"PCA_ada",2009-07-01,"Information Technology"
81,9,20,17,23.3432262432432,"PCA_voted",2009-07-01,"Information Technology"
58,2,43,24,20.9292865970149,"PCA_voted.prob",2009-07-01,"Information Technology"
101,0,0,26,14.0083474230769,"actual",2009-08-02,"Information Technology"
99,21,2,5,13.1174633857143,"ksvm",2009-08-02,"Information Technology"
98,18,3,8,10.1586672090909,"nnet",2009-08-02,"Information Technology"
101,15,0,11,16.3492485454545,"rf",2009-08-02,"Information Technology"
101,22,0,4,18.04811675,"ada",2009-08-02,"Information Technology"
101,22,0,4,18.04811675,"voted",2009-08-02,"Information Technology"
101,19,0,7,17.4921205714286,"voted.prob",2009-08-02,"Information Technology"
100,21,1,5,14.9502775666667,"PCA_ksvm",2009-08-02,"Information Technology"
100,17,1,9,15.2061892,"PCA_nnet",2009-08-02,"Information Technology"
101,18,0,8,16.76417,"PCA_rf",2009-08-02,"Information Technology"
101,20,0,6,16.9449348333333,"PCA_ada",2009-08-02,"Information Technology"
101,19,0,7,17.4008097142857,"PCA_voted",2009-08-02,"Information Technology"
101,19,0,7,17.4008097142857,"PCA_voted.prob",2009-08-02,"Information Technology"
101,0,0,26,10.6402461115385,"actual",2009-09-01,"Information Technology"
93,11,8,15,8.09923792608696,"ksvm",2009-09-01,"Information Technology"
94,8,7,18,8.72941728,"nnet",2009-09-01,"Information Technology"
100,11,1,15,11.724472725,"rf",2009-09-01,"Information Technology"
97,10,4,16,9.974265365,"ada",2009-09-01,"Information Technology"
98,11,3,15,10.4493932,"voted",2009-09-01,"Information Technology"
97,9,4,17,10.0081786809524,"voted.prob",2009-09-01,"Information Technology"
93,12,8,14,8.37809896818182,"PCA_ksvm",2009-09-01,"Information Technology"
95,10,6,16,8.43010703636364,"PCA_nnet",2009-09-01,"Information Technology"
99,12,2,14,11.41946533125,"PCA_rf",2009-09-01,"Information Technology"
96,11,5,15,9.156595405,"PCA_ada",2009-09-01,"Information Technology"
99,12,2,14,11.2477123125,"PCA_voted",2009-09-01,"Information Technology"
97,10,4,16,9.47394517,"PCA_voted.prob",2009-09-01,"Information Technology"
101,0,0,26,4.06027482476923,"actual",2009-10-01,"Information Technology"
99,21,2,5,3.90886162857143,"ksvm",2009-10-01,"Information Technology"
100,17,1,9,5.69225438,"nnet",2009-10-01,"Information Technology"
101,16,0,10,8.18794608,"rf",2009-10-01,"Information Technology"
101,18,0,8,7.1293906,"ada",2009-10-01,"Information Technology"
101,18,0,8,7.1293906,"voted",2009-10-01,"Information Technology"
101,17,0,9,7.28526786666667,"voted.prob",2009-10-01,"Information Technology"
100,22,1,4,5.08801588,"PCA_ksvm",2009-10-01,"Information Technology"
101,16,0,10,8.18794608,"PCA_nnet",2009-10-01,"Information Technology"
101,16,0,10,8.18794608,"PCA_rf",2009-10-01,"Information Technology"
100,19,1,7,5.2648791375,"PCA_ada",2009-10-01,"Information Technology"
101,20,0,6,7.76146261666667,"PCA_voted",2009-10-01,"Information Technology"
101,16,0,10,8.18794608,"PCA_voted.prob",2009-10-01,"Information Technology"
101,0,0,26,4.84839176538462,"actual",2009-11-01,"Information Technology"
97,15,4,11,5.0420786,"ksvm",2009-11-01,"Information Technology"
96,12,5,14,4.49556618684211,"nnet",2009-11-01,"Information Technology"
101,15,0,11,8.04039467272727,"rf",2009-11-01,"Information Technology"
91,12,10,14,3.42128009683333,"ada",2009-11-01,"Information Technology"
101,14,0,12,7.5360627,"voted",2009-11-01,"Information Technology"
100,14,1,12,6.83675876153846,"voted.prob",2009-11-01,"Information Technology"
99,14,2,12,5.70422891428571,"PCA_ksvm",2009-11-01,"Information Technology"
84,14,17,12,2.49054189289655,"PCA_nnet",2009-11-01,"Information Technology"
100,15,1,11,7.37036178333333,"PCA_rf",2009-11-01,"Information Technology"
92,15,9,11,1.9909500625,"PCA_ada",2009-11-01,"Information Technology"
100,15,1,11,7.432190675,"PCA_voted",2009-11-01,"Information Technology"
96,15,5,11,5.241499165625,"PCA_voted.prob",2009-11-01,"Information Technology"
101,0,0,26,14.7148966538462,"actual",2009-12-01,"Information Technology"
98,16,3,10,15.4250088692308,"ksvm",2009-12-01,"Information Technology"
83,1,18,25,11.8550789325581,"nnet",2009-12-01,"Information Technology"
91,0,10,26,13.1377805638889,"rf",2009-12-01,"Information Technology"
90,2,11,24,13.1454293228571,"ada",2009-12-01,"Information Technology"
92,3,9,23,13.503383728125,"voted",2009-12-01,"Information Technology"
91,0,10,26,13.169739925,"voted.prob",2009-12-01,"Information Technology"
98,15,3,11,14.37719795,"PCA_ksvm",2009-12-01,"Information Technology"
81,2,20,24,11.4007491295455,"PCA_nnet",2009-12-01,"Information Technology"
93,6,8,20,13.6447602964286,"PCA_rf",2009-12-01,"Information Technology"
92,6,9,20,13.4355247689655,"PCA_ada",2009-12-01,"Information Technology"
94,6,7,20,13.7847779740741,"PCA_voted",2009-12-01,"Information Technology"
91,4,10,22,13.072823640625,"PCA_voted.prob",2009-12-01,"Information Technology"
104,0,0,26,12.4780525384615,"actual",2008-12-01,"Consumer Discretionary"
103,22,1,4,15.0996254,"ksvm",2008-12-01,"Consumer Discretionary"
103,21,1,5,14.8373343666667,"nnet",2008-12-01,"Consumer Discretionary"
103,24,1,2,17.0668916666667,"rf",2008-12-01,"Consumer Discretionary"
99,23,5,3,7.309111143125,"ada",2008-12-01,"Consumer Discretionary"
103,24,1,2,17.0668916666667,"voted",2008-12-01,"Consumer Discretionary"
103,24,1,2,17.0668916666667,"voted.prob",2008-12-01,"Consumer Discretionary"
103,23,1,3,15.04412275,"PCA_ksvm",2008-12-01,"Consumer Discretionary"
100,23,4,3,6.89327957142857,"PCA_nnet",2008-12-01,"Consumer Discretionary"
103,23,1,3,18.33427225,"PCA_rf",2008-12-01,"Consumer Discretionary"
103,23,1,3,17.59375025,"PCA_ada",2008-12-01,"Consumer Discretionary"
103,24,1,2,19.3384843333333,"PCA_voted",2008-12-01,"Consumer Discretionary"
103,24,1,2,19.3384843333333,"PCA_voted.prob",2008-12-01,"Consumer Discretionary"
105,0,0,26,6.59032645769231,"actual",2009-01-04,"Consumer Discretionary"
104,24,1,2,7.3444584,"ksvm",2009-01-04,"Consumer Discretionary"
103,20,2,6,3.6485415375,"nnet",2009-01-04,"Consumer Discretionary"
105,21,0,5,12.45712006,"rf",2009-01-04,"Consumer Discretionary"
105,23,0,3,14.2689383333333,"ada",2009-01-04,"Consumer Discretionary"
105,23,0,3,14.2689383333333,"voted",2009-01-04,"Consumer Discretionary"
105,21,0,5,12.45712006,"voted.prob",2009-01-04,"Consumer Discretionary"
103,24,2,2,2.51905905,"PCA_ksvm",2009-01-04,"Consumer Discretionary"
99,19,6,7,1.01868591538462,"PCA_nnet",2009-01-04,"Consumer Discretionary"
105,21,0,5,12.45712006,"PCA_rf",2009-01-04,"Consumer Discretionary"
105,23,0,3,14.2689383333333,"PCA_ada",2009-01-04,"Consumer Discretionary"
105,23,0,3,14.2689383333333,"PCA_voted",2009-01-04,"Consumer Discretionary"
105,21,0,5,12.45712006,"PCA_voted.prob",2009-01-04,"Consumer Discretionary"
105,0,0,26,6.43982610153846,"actual",2009-02-01,"Consumer Discretionary"
103,20,2,6,7.37671705,"ksvm",2009-02-01,"Consumer Discretionary"
94,17,11,9,-1.77940848,"nnet",2009-02-01,"Consumer Discretionary"
103,17,2,9,10.7925745454545,"rf",2009-02-01,"Consumer Discretionary"
102,18,3,8,8.44085428181818,"ada",2009-02-01,"Consumer Discretionary"
104,19,1,7,12.2749,"voted",2009-02-01,"Consumer Discretionary"
104,18,1,8,12.2124697777778,"voted.prob",2009-02-01,"Consumer Discretionary"
103,21,2,5,6.21100834285714,"PCA_ksvm",2009-02-01,"Consumer Discretionary"
100,14,5,12,1.22582895882353,"PCA_nnet",2009-02-01,"Consumer Discretionary"
103,19,2,7,9.01260168888889,"PCA_rf",2009-02-01,"Consumer Discretionary"
103,18,2,8,9.35787374,"PCA_ada",2009-02-01,"Consumer Discretionary"
103,19,2,7,8.67133993333333,"PCA_voted",2009-02-01,"Consumer Discretionary"
103,17,2,9,8.65284578181818,"PCA_voted.prob",2009-02-01,"Consumer Discretionary"
105,0,0,26,40.0682579615385,"actual",2009-03-01,"Consumer Discretionary"
97,13,8,13,32.0637243666667,"ksvm",2009-03-01,"Consumer Discretionary"
47,1,58,25,24.5247698108434,"nnet",2009-03-01,"Consumer Discretionary"
53,0,52,26,25.9159578025641,"rf",2009-03-01,"Consumer Discretionary"
53,4,52,22,24.7137852108108,"ada",2009-03-01,"Consumer Discretionary"
62,4,43,22,25.3076134861538,"voted",2009-03-01,"Consumer Discretionary"
51,2,54,24,24.7438301833333,"voted.prob",2009-03-01,"Consumer Discretionary"
100,16,5,10,32.3325268466667,"PCA_ksvm",2009-03-01,"Consumer Discretionary"
46,2,59,24,23.7614416963855,"PCA_nnet",2009-03-01,"Consumer Discretionary"
63,5,42,21,25.2304545920635,"PCA_rf",2009-03-01,"Consumer Discretionary"
84,10,21,16,27.0905820621622,"PCA_ada",2009-03-01,"Consumer Discretionary"
85,11,20,15,26.8831236085714,"PCA_voted",2009-03-01,"Consumer Discretionary"
63,3,42,23,26.1855631430769,"PCA_voted.prob",2009-03-01,"Consumer Discretionary"
105,0,0,26,31.6086063846154,"actual",2009-04-01,"Consumer Discretionary"
104,18,1,8,32.7306116,"ksvm",2009-04-01,"Consumer Discretionary"
105,14,0,12,36.5727843333333,"nnet",2009-04-01,"Consumer Discretionary"
104,13,1,13,35.4242252142857,"rf",2009-04-01,"Consumer Discretionary"
103,15,2,11,34.5615821076923,"ada",2009-04-01,"Consumer Discretionary"
105,17,0,9,39.4651283333333,"voted",2009-04-01,"Consumer Discretionary"
103,14,2,12,33.5929474571429,"voted.prob",2009-04-01,"Consumer Discretionary"
104,18,1,8,32.7306116,"PCA_ksvm",2009-04-01,"Consumer Discretionary"
97,12,8,14,27.3829429363636,"PCA_nnet",2009-04-01,"Consumer Discretionary"
102,12,3,14,32.1949737647059,"PCA_rf",2009-04-01,"Consumer Discretionary"
101,14,4,12,30.5376250875,"PCA_ada",2009-04-01,"Consumer Discretionary"
105,13,0,13,35.8420835384615,"PCA_voted",2009-04-01,"Consumer Discretionary"
104,12,1,14,34.5462811333333,"PCA_voted.prob",2009-04-01,"Consumer Discretionary"
105,0,0,26,20.2599519230769,"actual",2009-05-03,"Consumer Discretionary"
103,23,2,3,18.68316824,"ksvm",2009-05-03,"Consumer Discretionary"
92,17,13,9,12.11432263,"nnet",2009-05-03,"Consumer Discretionary"
105,22,0,4,30.34340975,"rf",2009-05-03,"Consumer Discretionary"
105,23,0,3,30.8328776666667,"ada",2009-05-03,"Consumer Discretionary"
105,23,0,3,30.8328776666667,"voted",2009-05-03,"Consumer Discretionary"
104,22,1,4,23.50403974,"voted.prob",2009-05-03,"Consumer Discretionary"
103,23,2,3,18.68316824,"PCA_ksvm",2009-05-03,"Consumer Discretionary"
102,18,3,8,17.9727113363636,"PCA_nnet",2009-05-03,"Consumer Discretionary"
105,21,0,5,29.4523928,"PCA_rf",2009-05-03,"Consumer Discretionary"
103,22,2,4,20.7140819166667,"PCA_ada",2009-05-03,"Consumer Discretionary"
105,22,0,4,30.34340975,"PCA_voted",2009-05-03,"Consumer Discretionary"
104,21,1,5,23.9014206166667,"PCA_voted.prob",2009-05-03,"Consumer Discretionary"
105,0,0,26,5.8468066,"actual",2009-06-01,"Consumer Discretionary"
103,24,2,2,2.9422536875,"ksvm",2009-06-01,"Consumer Discretionary"
96,21,9,5,-1.49729326428571,"nnet",2009-06-01,"Consumer Discretionary"
105,24,0,2,8.3976805,"rf",2009-06-01,"Consumer Discretionary"
104,25,1,1,4.815435375,"ada",2009-06-01,"Consumer Discretionary"
105,25,0,1,8.957529,"voted",2009-06-01,"Consumer Discretionary"
103,24,2,2,2.2493406875,"voted.prob",2009-06-01,"Consumer Discretionary"
103,24,2,2,4.5754358625,"PCA_ksvm",2009-06-01,"Consumer Discretionary"
95,21,10,5,0.266762568,"PCA_nnet",2009-06-01,"Consumer Discretionary"
105,25,0,1,8.957529,"PCA_rf",2009-06-01,"Consumer Discretionary"
104,25,1,1,3.60570845,"PCA_ada",2009-06-01,"Consumer Discretionary"
105,25,0,1,8.957529,"PCA_voted",2009-06-01,"Consumer Discretionary"
102,24,3,2,2.00458053,"PCA_voted.prob",2009-06-01,"Consumer Discretionary"
105,0,0,26,44.5860961153846,"actual",2009-07-01,"Consumer Discretionary"
100,15,5,11,42.4889108375,"ksvm",2009-07-01,"Consumer Discretionary"
49,0,56,26,27.2602354560976,"nnet",2009-07-01,"Consumer Discretionary"
51,0,54,26,28.24713795,"rf",2009-07-01,"Consumer Discretionary"
49,0,56,26,27.2924945170732,"ada",2009-07-01,"Consumer Discretionary"
56,0,49,26,28.6735649053333,"voted",2009-07-01,"Consumer Discretionary"
49,0,56,26,27.4555859012195,"voted.prob",2009-07-01,"Consumer Discretionary"
99,17,6,9,40.7386794666667,"PCA_ksvm",2009-07-01,"Consumer Discretionary"
49,2,56,24,26.81718415625,"PCA_nnet",2009-07-01,"Consumer Discretionary"
61,1,44,25,28.9371154275362,"PCA_rf",2009-07-01,"Consumer Discretionary"
76,2,29,24,29.9103064981132,"PCA_ada",2009-07-01,"Consumer Discretionary"
79,3,26,23,31.8881433265306,"PCA_voted",2009-07-01,"Consumer Discretionary"
56,1,49,25,27.9102801202703,"PCA_voted.prob",2009-07-01,"Consumer Discretionary"
105,0,0,26,11.7643804807692,"actual",2009-08-02,"Consumer Discretionary"
102,26,3,0,-1.69436136666667,"ksvm",2009-08-02,"Consumer Discretionary"
103,22,2,4,11.81107515,"nnet",2009-08-02,"Consumer Discretionary"
104,25,1,1,6.48143857,"rf",2009-08-02,"Consumer Discretionary"
104,26,1,0,0.16913414,"ada",2009-08-02,"Consumer Discretionary"
105,26,105,26,NA,"voted",2009-08-02,"Consumer Discretionary"
105,25,0,1,12.793743,"voted.prob",2009-08-02,"Consumer Discretionary"
103,24,2,2,4.73952855,"PCA_ksvm",2009-08-02,"Consumer Discretionary"
103,25,2,1,2.20455704666667,"PCA_nnet",2009-08-02,"Consumer Discretionary"
104,25,1,1,5.2637276,"PCA_rf",2009-08-02,"Consumer Discretionary"
105,26,0,0,NA,"PCA_ada",2009-08-02,"Consumer Discretionary"
105,26,105,26,NA,"PCA_voted",2009-08-02,"Consumer Discretionary"
103,25,2,1,2.20455704666667,"PCA_voted.prob",2009-08-02,"Consumer Discretionary"
105,0,0,26,14.221128,"actual",2009-09-01,"Consumer Discretionary"
100,14,5,12,13.6649255823529,"ksvm",2009-09-01,"Consumer Discretionary"
93,9,12,17,11.2629841793103,"nnet",2009-09-01,"Consumer Discretionary"
99,8,6,18,13.3156451708333,"rf",2009-09-01,"Consumer Discretionary"
99,10,6,16,13.3456439136364,"ada",2009-09-01,"Consumer Discretionary"
99,11,6,15,13.4636871,"voted",2009-09-01,"Consumer Discretionary"
99,9,6,17,13.4221194391304,"voted.prob",2009-09-01,"Consumer Discretionary"
99,14,6,12,12.7644232166667,"PCA_ksvm",2009-09-01,"Consumer Discretionary"
92,7,13,19,11.141935975,"PCA_nnet",2009-09-01,"Consumer Discretionary"
99,11,6,15,13.1569248142857,"PCA_rf",2009-09-01,"Consumer Discretionary"
96,12,9,14,11.6125555973913,"PCA_ada",2009-09-01,"Consumer Discretionary"
99,13,6,13,13.1791796894737,"PCA_voted",2009-09-01,"Consumer Discretionary"
95,10,10,16,12.0375943615385,"PCA_voted.prob",2009-09-01,"Consumer Discretionary"
105,0,0,27,4.08953186888889,"actual",2009-10-01,"Consumer Discretionary"
103,25,2,2,-1.451240175,"ksvm",2009-10-01,"Consumer Discretionary"
102,19,3,8,3.05770092727273,"nnet",2009-10-01,"Consumer Discretionary"
105,20,0,7,10.7680253142857,"rf",2009-10-01,"Consumer Discretionary"
105,21,0,6,11.0510925333333,"ada",2009-10-01,"Consumer Discretionary"
105,21,0,6,11.0510925333333,"voted",2009-10-01,"Consumer Discretionary"
105,21,0,6,11.0510925333333,"voted.prob",2009-10-01,"Consumer Discretionary"
103,25,2,2,-4.175870175,"PCA_ksvm",2009-10-01,"Consumer Discretionary"
101,17,4,10,2.16859875,"PCA_nnet",2009-10-01,"Consumer Discretionary"
105,21,0,6,11.55828045,"PCA_rf",2009-10-01,"Consumer Discretionary"
99,24,6,3,-3.69219172222222,"PCA_ada",2009-10-01,"Consumer Discretionary"
105,24,0,3,7.40101756666667,"PCA_voted",2009-10-01,"Consumer Discretionary"
105,20,0,7,10.0077646,"PCA_voted.prob",2009-10-01,"Consumer Discretionary"
105,0,0,27,5.57846583333333,"actual",2009-11-01,"Consumer Discretionary"
98,17,7,10,3.49647122352941,"ksvm",2009-11-01,"Consumer Discretionary"
93,11,12,16,2.60152732857143,"nnet",2009-11-01,"Consumer Discretionary"
99,13,6,14,4.95003908,"rf",2009-11-01,"Consumer Discretionary"
97,11,8,16,4.44852684166667,"ada",2009-11-01,"Consumer Discretionary"
99,13,6,14,4.95003908,"voted",2009-11-01,"Consumer Discretionary"
98,12,7,15,4.64794499545455,"voted.prob",2009-11-01,"Consumer Discretionary"
101,18,4,9,5.23733591,"PCA_ksvm",2009-11-01,"Consumer Discretionary"
95,12,10,15,3.39511418,"PCA_nnet",2009-11-01,"Consumer Discretionary"
98,12,7,15,4.75035661363636,"PCA_rf",2009-11-01,"Consumer Discretionary"
99,13,6,14,5.040280525,"PCA_ada",2009-11-01,"Consumer Discretionary"
99,15,6,12,4.92123927777778,"PCA_voted",2009-11-01,"Consumer Discretionary"
98,13,7,14,4.48372618571429,"PCA_voted.prob",2009-11-01,"Consumer Discretionary"
105,0,0,27,14.0866998148148,"actual",2009-12-01,"Consumer Discretionary"
100,16,5,11,12.7522371,"ksvm",2009-12-01,"Consumer Discretionary"
83,1,22,26,10.7864178270833,"nnet",2009-12-01,"Consumer Discretionary"
82,0,23,27,10.936782792,"rf",2009-12-01,"Consumer Discretionary"
85,2,20,25,11.1354292444444,"ada",2009-12-01,"Consumer Discretionary"
87,2,18,25,11.1775619627907,"voted",2009-12-01,"Consumer Discretionary"
87,2,18,25,11.1775619627907,"voted.prob",2009-12-01,"Consumer Discretionary"
101,18,4,9,12.0145910923077,"PCA_ksvm",2009-12-01,"Consumer Discretionary"
86,2,19,25,11.0569964431818,"PCA_nnet",2009-12-01,"Consumer Discretionary"
93,6,12,21,12.0315702878788,"PCA_rf",2009-12-01,"Consumer Discretionary"
94,9,11,18,11.1753972758621,"PCA_ada",2009-12-01,"Consumer Discretionary"
96,8,9,19,12.3500789357143,"PCA_voted",2009-12-01,"Consumer Discretionary"
91,5,14,22,11.677280325,"PCA_voted.prob",2009-12-01,"Consumer Discretionary"
124,0,0,31,14.796190983871,"actual",2008-12-01,"Financials"
118,24,6,7,12.5460153461538,"ksvm",2008-12-01,"Financials"
119,20,5,11,14.78055004375,"nnet",2008-12-01,"Financials"
122,23,2,8,16.96936403,"rf",2008-12-01,"Financials"
122,23,2,8,17.0212844,"ada",2008-12-01,"Financials"
122,24,2,7,17.9353625,"voted",2008-12-01,"Financials"
121,23,3,8,17.6366853454545,"voted.prob",2008-12-01,"Financials"
117,27,7,4,10.2443353181818,"PCA_ksvm",2008-12-01,"Financials"
113,22,11,9,8.482628435,"PCA_nnet",2008-12-01,"Financials"
121,24,3,7,18.48125025,"PCA_rf",2008-12-01,"Financials"
119,25,5,6,15.4431476181818,"PCA_ada",2008-12-01,"Financials"
121,25,3,6,17.5840010444444,"PCA_voted",2008-12-01,"Financials"
118,24,6,7,13.6127845923077,"PCA_voted.prob",2008-12-01,"Financials"
123,0,0,31,8.3321951183871,"actual",2009-01-04,"Financials"
122,29,1,2,4.6384691,"ksvm",2009-01-04,"Financials"
121,23,2,8,5.81130306,"nnet",2009-01-04,"Financials"
122,21,1,10,10.5392867272727,"rf",2009-01-04,"Financials"
122,27,1,4,6.92752358,"ada",2009-01-04,"Financials"
122,28,1,3,7.451262975,"voted",2009-01-04,"Financials"
122,26,1,5,9.94910181666667,"voted.prob",2009-01-04,"Financials"
122,30,1,1,4.84502895,"PCA_ksvm",2009-01-04,"Financials"
121,23,2,8,5.64703835,"PCA_nnet",2009-01-04,"Financials"
122,26,1,5,10.1857064,"PCA_rf",2009-01-04,"Financials"
123,29,0,2,10.057497,"PCA_ada",2009-01-04,"Financials"
123,28,0,3,10.133767,"PCA_voted",2009-01-04,"Financials"
122,27,1,4,7.21144908,"PCA_voted.prob",2009-01-04,"Financials"
121,0,0,30,-2.96977673233333,"actual",2009-02-01,"Financials"
121,27,0,3,1.3056516,"ksvm",2009-02-01,"Financials"
116,27,5,3,-10.06051925,"nnet",2009-02-01,"Financials"
121,29,0,1,11.724138,"rf",2009-02-01,"Financials"
121,29,0,1,11.724138,"ada",2009-02-01,"Financials"
121,29,0,1,11.724138,"voted",2009-02-01,"Financials"
121,29,0,1,11.724138,"voted.prob",2009-02-01,"Financials"
121,27,0,3,1.3056516,"PCA_ksvm",2009-02-01,"Financials"
117,27,4,3,-14.6546732428571,"PCA_nnet",2009-02-01,"Financials"
121,29,0,1,11.724138,"PCA_rf",2009-02-01,"Financials"
121,26,0,4,2.954146425,"PCA_ada",2009-02-01,"Financials"
121,29,0,1,11.724138,"PCA_voted",2009-02-01,"Financials"
121,27,0,3,5.7802441,"PCA_voted.prob",2009-02-01,"Financials"
121,0,0,31,35.8919881290323,"actual",2009-03-01,"Financials"
108,18,13,13,26.9896791003846,"ksvm",2009-03-01,"Financials"
47,1,74,30,17.6396743660577,"nnet",2009-03-01,"Financials"
49,0,72,31,17.5408270929126,"rf",2009-03-01,"Financials"
47,0,74,31,16.900137214,"ada",2009-03-01,"Financials"
55,0,66,31,18.4443609594845,"voted",2009-03-01,"Financials"
52,0,69,31,18.1382804007,"voted.prob",2009-03-01,"Financials"
107,22,14,9,20.4704788786957,"PCA_ksvm",2009-03-01,"Financials"
49,4,72,27,16.4443220108081,"PCA_nnet",2009-03-01,"Financials"
68,5,53,26,18.8349373975949,"PCA_rf",2009-03-01,"Financials"
82,10,39,21,18.1945024255,"PCA_ada",2009-03-01,"Financials"
89,12,32,19,20.2253417943137,"PCA_voted",2009-03-01,"Financials"
68,4,53,27,18.763584247875,"PCA_voted.prob",2009-03-01,"Financials"
123,0,0,31,21.5561338870968,"actual",2009-04-01,"Financials"
121,18,2,13,24.3628390733333,"ksvm",2009-04-01,"Financials"
112,12,11,19,15.5452041526667,"nnet",2009-04-01,"Financials"
123,24,0,7,31.2333904285714,"rf",2009-04-01,"Financials"
118,17,5,14,20.206296,"ada",2009-04-01,"Financials"
122,22,1,9,26.90919976,"voted",2009-04-01,"Financials"
119,16,4,15,20.1768756157895,"voted.prob",2009-04-01,"Financials"
121,18,2,13,24.6772200733333,"PCA_ksvm",2009-04-01,"Financials"
114,19,9,12,16.9291676752381,"PCA_nnet",2009-04-01,"Financials"
120,21,3,10,22.8147655692308,"PCA_rf",2009-04-01,"Financials"
119,16,4,15,21.5307595105263,"PCA_ada",2009-04-01,"Financials"
121,19,2,12,25.7292345785714,"PCA_voted",2009-04-01,"Financials"
121,17,2,14,24.50613138125,"PCA_voted.prob",2009-04-01,"Financials"
123,0,0,31,17.4724899193548,"actual",2009-05-03,"Financials"
114,26,9,5,11.7608614685714,"ksvm",2009-05-03,"Financials"
112,26,11,5,8.002145694375,"nnet",2009-05-03,"Financials"
123,29,0,2,63.3629865,"rf",2009-05-03,"Financials"
123,29,0,2,63.3629865,"ada",2009-05-03,"Financials"
123,29,0,2,63.3629865,"voted",2009-05-03,"Financials"
122,28,1,3,39.629471675,"voted.prob",2009-05-03,"Financials"
113,25,10,6,9.5855049225,"PCA_ksvm",2009-05-03,"Financials"
114,25,9,6,9.05513589333333,"PCA_nnet",2009-05-03,"Financials"
121,27,2,4,21.2806658333333,"PCA_rf",2009-05-03,"Financials"
114,23,9,8,10.8653787035294,"PCA_ada",2009-05-03,"Financials"
120,26,3,5,17.0474385,"PCA_voted",2009-05-03,"Financials"
118,25,5,6,13.3709895181818,"PCA_voted.prob",2009-05-03,"Financials"
124,0,0,31,3.11881941645161,"actual",2009-06-01,"Financials"
121,28,3,3,-0.0260700166666668,"ksvm",2009-06-01,"Financials"
119,25,5,6,-0.793328038181818,"nnet",2009-06-01,"Financials"
